user_id,score0,score1,score2
490,4T5z 9 8,1T4z 11 16,3T4z 5 5
2276,5T5z 6 5,2T3z 11 11,3T4z 5 6
1138,5T5z 15 11,2T3z 5 5,3T4z 10 10
4299,5T5z 18 17,1T3z 2 5,2T4z 3 10
79,5T5z 8 7,1T3z 2 6,2T4z 4 11
2272,5T5z 12 12,2T2z 8 4,2T4z 7 9
2257,5T5z 9 9,1T3z 2 10,NA
1131,5T5z 11 7,1T2z 4 3,NA
523,4T5z 7 13,1T2z 5 3,NA
3131,5T5z 17 13,1T2z 7 5,NA
2332,4T5z 10 9,0T4z 0 7,NA
3422,5T5z 13 11,0T3z 0 5,NA
2337,4T5z 5 6,0T3z 0 8,NA
1559,5T5z 11 7,0T3z 0 10,NA
2052,5T5z 9 9,0T3z 0 15,NA
3983,4T5z 6 11,0T3z 0 18,NA
1778,5T5z 9 7,0T2z 0 5,NA
1214,5T5z 7 7,0T2z 0 6,NA
634,5T5z 14 14,0T1z 0 9,NA
2266,5T5z 17 11,0T0z 0 0,NA
2947,4T5z 10 8,NA,NA
2291,4T5z 11 9,NA,NA
2574,3T5z 6 10,NA,NA
2307,4T5z 10 9,NA,NA
648,4T5z 10 12,NA,NA
646,3T5z 8 7,NA,NA
1741,4T5z 14 13,NA,NA
89,3T5z 8 9,NA,NA
2309,4T4z 6 4,NA,NA
67,3T5z 8 10,NA,NA
2334,4T4z 6 5,NA,NA
1926,3T5z 9 12,NA,NA
486,3T5z 9 12,NA,NA
1124,4T4z 7 5,NA,NA
3127,3T5z 11 12,NA,NA
1472,4T4z 14 8,NA,NA
2218,3T4z 5 7,NA,NA
857,3T5z 6 12,NA,NA
3991,3T4z 8 12,NA,NA
318,3T5z 9 14,NA,NA
649,3T5z 10 12,NA,NA
1593,3T4z 10 11,NA,NA
1234,3T4z 12 13,NA,NA
1773,3T5z 12 16,NA,NA
854,3T4z 3 5,NA,NA
320,2T5z 6 10,NA,NA
165,3T4z 6 5,NA,NA
645,2T5z 6 21,NA,NA
855,2T4z 2 4,NA,NA
1558,2T4z 2 4,NA,NA
1489,3T4z 6 6,NA,NA
2667,3T4z 13 11,NA,NA
505,2T4z 3 7,NA,NA
93,3T4z 14 14,NA,NA
3998,2T4z 5 4,NA,NA
1586,3T4z 15 15,NA,NA
1255,3T3z 6 4,NA,NA
1241,2T3z 4 3,NA,NA
2041,3T3z 11 10,NA,NA
2146,2T2z 8 4,NA,NA
3126,2T5z 4 12,NA,NA
864,2T2z 11 8,NA,NA
4306,1T5z 1 15,NA,NA
3268,2T5z 6 15,NA,NA
2219,2T5z 7 15,NA,NA
2214,1T4z 6 12,NA,NA
3211,2T4z 5 11,NA,NA
2226,0T3z 0 7,NA,NA
2519,0T3z 0 11,NA,NA
1614,2T4z 5 13,NA,NA
7613,2T4z 6 9,NA,NA
11454,0T3z 0 14,NA,NA
2217,2T4z 10 15,NA,NA
2514,0T3z 0 15,NA,NA
2530,0T2z 0 4,NA,NA
2670,2T4z 13 11,NA,NA
3344,0T2z 0 5,NA,NA
3278,2T3z 10 10,NA,NA
3213,1T4z 4 16,NA,NA
2929,0T2z 0 7,NA,NA
3727,1T3z 4 9,NA,NA
2658,0T2z 0 8,NA,NA
1754,0T1z 0 1,NA,NA
3939,0T1z 0 1,NA,NA
85,1T3z 10 13,NA,NA
2493,1T2z 4 4,NA,NA
1492,0T1z 0 2,NA,NA
3280,0T1z 0 2,NA,NA
314,0T5z 0 13,NA,NA
3989,0T4z 0 15,NA,NA
3348,0T3z 0 15,NA,NA
3270,0T1z 0 3,NA,NA
865,0T2z 0 7,NA,NA
4437,0T1z 0 7,NA,NA
1372,0T0z 0 0,NA,NA
2687,0T2z 0 8,NA,NA
3728,0T0z 0 0,NA,NA
3737,0T0z 0 0,NA,NA
3440,0T2z 0 9,NA,NA
2148,0T1z 0 6,NA,NA
2845,0T0z 0 0,NA,NA
