user_id,score0,score1
3270,5.914,5.97
1492,6.206,6.31
198,6.020,6.80
2929,5.618,FALL
3471,6.115,5.73
165,6.263,6.31
2951,6.279,7.03
3268,6.212,7.51
2845,6.317,6.08
11460,6.128,6.16
3278,5.876,6.28
154,6.085,7.37
2962,5.842,8.11
98,6.133,8.93
7613,5.677,FALL
105,5.827,FALL
85,6.323,NA
1372,6.342,NA
74,6.357,NA
899,6.419,NA
3211,6.453,NA
11414,6.555,NA
2218,6.615,NA
2272,6.620,NA
11461,6.641,NA
490,6.678,NA
3422,6.763,NA
1754,6.832,NA
11409,6.842,NA
2307,6.926,NA
3213,6.942,NA
2947,6.978,NA
474,6.995,NA
648,7.079,NA
857,7.096,NA
2041,7.098,NA
1559,7.111,NA
2332,7.123,NA
1778,7.165,NA
1214,7.167,NA
2217,7.278,NA
2257,7.372,NA
1926,7.392,NA
2052,7.467,NA
146,7.492,NA
1773,7.560,NA
4299,7.581,NA
645,7.597,NA
3280,7.634,NA
11454,7.638,NA
1234,7.692,NA
505,7.744,NA
318,7.823,NA
320,7.843,NA
2214,8.023,NA
1124,8.074,NA
2226,8.211,NA
854,8.258,NA
1741,8.261,NA
3991,8.267,NA
3939,8.333,NA
314,8.356,NA
1138,8.422,NA
2958,8.536,NA
864,8.613,NA
1472,8.615,NA
2519,8.830,NA
79,8.971,NA
3344,9.001,NA
3348,9.132,NA
3989,9.143,NA
2146,9.315,NA
3998,9.418,NA
3728,9.574,NA
2514,9.635,NA
523,9.814,NA
3983,9.865,NA
486,9.928,NA
1489,10.324,NA
855,10.450,NA
2658,11.954,NA
3737,12.393,NA
3727,12.664,NA
865,fall,NA
2667,False start,NA
