user_id,score0,score1,score2
1124,2T4z 2 7,2T3z 2 3,3T4z 7 8
2276,3T4z 5 4,3T3z 7 7,2T4z 3 7
79,4T4z 10 9,2T3z 2 3,2T4z 5 13
1214,5T5z 9 6,3T4z 7 8,2T3z 6 9
2291,5T5z 8 5,2T4z 8 12,1T3z 3 5
2052,5T5z 7 6,2T3z 2 3,1T2z 1 2
490,2T4z 2 13,2T4z 7 12,0T3z 0 9
2257,3T4z 6 7,2T3z 4 5,NA
2348,5T5z 12 11,2T3z 7 6,NA
2309,5T5z 8 5,2T2z 4 3,NA
4150,5T5z 6 6,2T2z 5 5,NA
2272,5T5z 8 7,1T4z 3 10,NA
1472,4T4z 12 10,1T3z 1 6,NA
523,5T5z 6 6,1T3z 3 3,NA
486,5T5z 9 7,1T2z 1 4,NA
2332,2T4z 2 8,1T2z 2 4,NA
1778,5T5z 6 6,1T2z 3 2,NA
3422,3T3z 3 3,1T1z 2 1,NA
4300,2T4z 2 8,0T2z 0 5,NA
857,5T5z 8 6,0T2z 0 6,NA
2337,5T5z 9 9,NA,NA
646,2T4z 3 12,NA,NA
3061,2T3z 2 3,NA,NA
2265,5T5z 10 7,NA,NA
2331,2T3z 2 3,NA,NA
1741,5T5z 10 8,NA,NA
849,5T5z 11 10,NA,NA
53,2T3z 2 4,NA,NA
3428,2T3z 2 6,NA,NA
1138,2T3z 2 6,NA,NA
3123,5T5z 13 10,NA,NA
1772,5T5z 14 14,NA,NA
3998,2T3z 3 3,NA,NA
2574,5T5z 15 9,NA,NA
667,2T3z 3 10,NA,NA
2334,4T5z 9 6,NA,NA
1559,2T3z 4 4,NA,NA
1245,4T5z 9 12,NA,NA
434,2T3z 4 6,NA,NA
2667,4T5z 10 14,NA,NA
2428,4T5z 12 9,NA,NA
816,2T3z 4 10,NA,NA
1234,4T5z 13 11,NA,NA
882,2T3z 5 5,NA,NA
2266,4T5z 16 13,NA,NA
502,2T3z 5 6,NA,NA
1129,4T5z 19 14,NA,NA
314,2T3z 5 9,NA,NA
4306,3T5z 4 8,NA,NA
3591,2T3z 6 3,NA,NA
854,2T3z 6 5,NA,NA
803,2T3z 6 5,NA,NA
1131,3T5z 6 9,NA,NA
1255,3T5z 6 11,NA,NA
318,2T3z 7 13,NA,NA
3427,3T5z 7 10,NA,NA
3983,2T3z 8 5,NA,NA
89,3T5z 7 22,NA,NA
3111,3T5z 8 7,NA,NA
308,2T2z 3 3,NA,NA
1558,2T2z 3 3,NA,NA
1571,2T2z 3 3,NA,NA
487,2T2z 3 3,NA,NA
685,2T2z 3 3,NA,NA
850,3T5z 8 15,NA,NA
797,3T5z 10 8,NA,NA
320,3T5z 10 10,NA,NA
858,3T4z 7 11,NA,NA
1241,3T4z 8 9,NA,NA
3777,2T2z 4 2,NA,NA
1586,2T2z 4 2,NA,NA
765,3T4z 9 6,NA,NA
912,2T2z 5 2,NA,NA
1361,3T4z 13 12,NA,NA
336,2T2z 6 5,NA,NA
1229,2T5z 7 8,NA,NA
3430,2T4z 4 6,NA,NA
2790,1T3z 1 4,NA,NA
745,2T4z 5 9,NA,NA
85,1T3z 1 6,NA,NA
634,2T4z 5 13,NA,NA
1149,1T3z 3 9,NA,NA
3991,2T4z 6 12,NA,NA
775,1T3z 3 10,NA,NA
2508,1T3z 4 9,NA,NA
1384,2T3z 11 6,NA,NA
786,1T3z 6 17,NA,NA
2014,1T5z 1 16,NA,NA
3779,1T4z 4 11,NA,NA
3569,1T2z 1 4,NA,NA
1389,1T3z 5 12,NA,NA
2670,1T2z 2 5,NA,NA
776,0T4z 0 25,NA,NA
2422,1T2z 5 6,NA,NA
3511,0T3z 0 8,NA,NA
631,0T3z 0 8,NA,NA
1357,1T1z 2 1,NA,NA
1250,1T1z 2 2,NA,NA
2761,0T2z 0 2,NA,NA
3781,0T3z 0 9,NA,NA
313,0T2z 0 7,NA,NA
2769,0T2z 0 5,NA,NA
2426,0T1z 0 1,NA,NA
1403,0T2z 0 9,NA,NA
4161,0T1z 0 1,NA,NA
3786,0T2z 0 10,NA,NA
3791,0T1z 0 5,NA,NA
4027,0T0z 0 0,NA,NA
2777,0T1z 0 12,NA,NA
