user_id,score0,score1
108,8.360,8.720
92,8.780,9.090
861,9.020,8.840
1372,9.080,10.210
107,10.500,9.380
7439,10.060,9.690
8671,10.470,fall
8677,10.680,fall
8758,9.930,10.330
8632,11.550,10.630
1731,9.850,12.630
109,9.810,fall
6355,10.460,fall
10697,12.170,fall
1741,12.290,fall
1744,12.440,fall
10730,12.730,NA
10731,12.740,NA
8642,12.930,NA
8533,14.840,NA
3037,16.340,NA
8601,17.250,NA
8679,17.680,NA
8603,20.110,NA
3367,20.140,NA
6192,20.600,NA
10553,21.230,NA
10554,22.900,NA
8625,24.580,NA
2762,25.810,NA
10732,28.380,NA
10733,33.360,NA
10734,33.500,NA
6392,34.380,NA
10735,38.010,NA
