user_id,score0,score1,score2
2276,4T5z 6 8,4T4z 14 11,2T3z 3 6
2309,4T5z 10 13,2T4z 5 6,2T3z 5 19
11675,4T5z 10 10,3T4z 8 5,2T3z 7 9
547,4T5z 8 17,2T4z 5 7,2T3z 15 18
1929,5T5z 14 12,3T4z 10 12,1T4z 19 27
2272,4T4z 16 7,4T4z 12 8,1T3z 4 27
2348,3T5z 16 12,2T4z 8 9,NA
688,4T5z 7 9,2T4z 9 20,NA
2334,3T4z 7 5,2T3z 4 3,NA
490,4T5z 15 13,2T3z 7 10,NA
1256,3T4z 8 17,1T4z 2 14,NA
523,4T4z 18 11,1T4z 2 16,NA
1131,4T4z 19 9,1T4z 3 12,NA
2291,3T4z 9 11,1T4z 5 11,NA
1758,3T5z 6 20,1T4z 6 13,NA
2574,5T5z 17 11,1T4z 7 10,NA
1138,3T4z 9 10,1T3z 2 7,NA
1124,3T5z 7 13,0T4z 0 17,NA
3460,4T5z 15 16,0T3z 0 7,NA
1149,5T5z 11 7,0T3z 0 8,NA
1778,3T5z 9 17,NA,NA
320,3T4z 9 26,NA,NA
2052,3T4z 4 7,NA,NA
13320,3T4z 11 11,NA,NA
1135,3T3z 8 7,NA,NA
4252,3T4z 13 11,NA,NA
1871,3T3z 11 10,NA,NA
11390,3T4z 15 18,NA,NA
4299,3T4z 17 19,NA,NA
532,2T5z 4 18,NA,NA
373,2T5z 5 23,NA,NA
2385,3T4z 20 20,NA,NA
646,2T5z 6 9,NA,NA
1559,2T5z 7 12,NA,NA
1644,2T5z 12 23,NA,NA
4019,2T4z 6 12,NA,NA
3983,2T4z 2 7,NA,NA
1214,2T4z 7 20,NA,NA
1241,2T4z 8 11,NA,NA
318,2T4z 4 4,NA,NA
696,2T4z 11 16,NA,NA
2101,2T4z 4 9,NA,NA
3991,2T4z 5 11,NA,NA
652,2T3z 2 7,NA,NA
3998,2T4z 7 12,NA,NA
857,2T3z 7 7,NA,NA
1741,2T4z 8 15,NA,NA
1145,2T2z 3 2,NA,NA
2667,1T5z 7 22,NA,NA
11500,2T2z 10 8,NA,NA
4168,1T4z 2 12,NA,NA
645,1T5z 1 21,NA,NA
1245,1T5z 4 16,NA,NA
518,1T4z 3 6,NA,NA
3126,1T4z 4 16,NA,NA
3586,1T4z 4 13,NA,NA
3127,1T4z 7 13,NA,NA
4284,1T3z 4 9,NA,NA
2508,1T3z 6 18,NA,NA
2798,1T4z 15 24,NA,NA
3591,1T3z 6 18,NA,NA
3428,1T3z 3 6,NA,NA
2851,1T2z 2 4,NA,NA
11847,1T3z 6 22,NA,NA
12815,1T2z 1 3,NA,NA
12074,1T2z 4 6,NA,NA
1437,1T2z 5 12,NA,NA
4364,1T2z 2 4,NA,NA
4306,1T2z 3 6,NA,NA
4283,1T2z 7 5,NA,NA
11501,1T2z 8 8,NA,NA
2201,1T2z 4 13,NA,NA
2203,1T1z 6 4,NA,NA
854,1T2z 5 9,NA,NA
12329,0T4z 0 24,NA,NA
3252,1T2z 8 9,NA,NA
4303,0T3z 0 10,NA,NA
912,0T4z 0 10,NA,NA
3778,0T4z 0 10,NA,NA
811,0T2z 0 6,NA,NA
3854,0T2z 0 12,NA,NA
1593,0T3z 0 7,NA,NA
1361,0T2z 0 13,NA,NA
2202,0T3z 0 14,NA,NA
1489,0T3z 0 31,NA,NA
1614,0T2z 0 18,NA,NA
3883,0T2z 0 3,NA,NA
2670,0T2z 0 22,NA,NA
4327,0T2z 0 7,NA,NA
2874,0T2z 0 7,NA,NA
814,0T1z 0 1,NA,NA
3141,0T1z 0 3,NA,NA
2597,0T1z 0 3,NA,NA
2894,0T2z 0 9,NA,NA
3596,0T2z 0 9,NA,NA
1472,0T1z 0 5,NA,NA
3511,0T1z 0 5,NA,NA
12459,0T2z 0 11,NA,NA
3861,0T0z 0 0,NA,NA
3496,0T0z 0 0,NA,NA
12903,0T0z 0 0,NA,NA
12981,0T0z 0 0,NA,NA
12230,0T2z 0 14,NA,NA
2588,0T0z 0 0,NA,NA
12310,0T0z 0 0,NA,NA
1749,0T0z 0 0,NA,NA
12460,0T1z 0 2,NA,NA
1496,0T1z 0 4,NA,NA
11518,0T1z 0 4,NA,NA
4016,0T1z 0 11,NA,NA
3153,0T0z 0 0,NA,NA
11836,0T0z 0 0,NA,NA
