user_id,score0,score1,score2
1214,Top  1.  |  Top  1. [4.69],32+,39
1364,Top  1.  |  Top  1. [4.69],36,38+
1221,42+  12.  |  Top  1. [7.35],36,38+
2309,38+  27.  |  46+  8. [15.84],32+,34+
2273,Top  1.  |  45+  10. [8.12],32+,33+
463,41   21.  |  45+  10. [16.43],36,26+
2667,42   16.  |  40   26. [20.71],35+,26
2574,Top  1.  |  Top  1. [4.69],44+,11+
854,41+  18.  |  42+  19. [19.00],32+,NA
437,Top  1.  |  Top  1. [4.69],32,NA
2261,40+  25.  |  43+  17. [21.12],31+,NA
1576,41   21.  |  40+  22. [22.99],31+,NA
649,42+  12.  |  40+  22. [17.81],30,NA
773,Top  1.  |  45+  10. [8.12],29+,NA
2041,Top  1.  |  45+  10. [8.12],28+,NA
1741,41+  18.  |  44+  15. [17.16],28+,NA
864,41+  18.  |  44+  15. [17.16],28+,NA
855,Top  1.  |  Top  1. [4.69],28,NA
2014,Top  1.  |  40+  22. [11.37],27,NA
3889,42   16.  |  39   30. [22.43],26+,NA
1129,42+  12.  |  Top  1. [7.35],26,NA
3125,43   11.  |  46+  8. [9.67],26,NA
2301,42+  12.  |  45+  10. [12.73],26,NA
1489,Top  1.  |  36   33. [13.47],25+,NA
2286,38+  27.  |  43+  17. [22.72],25+,NA
2271,38+  27.  |  42   20. [24.29],25+,NA
2285,38+  27.  |  41+  21. [24.89],NA,NA
648,41   21.  |  39+  27. [25.10],NA,NA
314,41   21.  |  39   30. [26.20],NA,NA
3989,38+  27.  |  40+  22. [26.33],NA,NA
3897,38+  27.  |  35   34. [32.59],NA,NA
979,35+  38.  |  39+  27. [32.62],NA,NA
776,40+  25.  |  29+  46. [34.62],NA,NA
1593,33+  44.  |  39+  27. [35.10],NA,NA
3111,36+  35.  |  35   34. [36.00],NA,NA
2493,34+  40.  |  35   34. [38.42],NA,NA
3983,34+  40.  |  35   34. [38.42],NA,NA
1216,37   34.  |  30+  45. [39.12],NA,NA
60,35   39.  |  34+  39. [39.25],NA,NA
318,36+  35.  |  32+  42. [39.34],NA,NA
634,36+  35.  |  29+  46. [41.13],NA,NA
1723,29+  52.  |  38+  32. [42.14],NA,NA
2264,37+  33.  |  26+  53. [42.21],NA,NA
3422,33   45.  |  33   41. [42.95],NA,NA
3136,32+  46.  |  34+  39. [43.32],NA,NA
1234,29+  52.  |  35   34. [44.70],NA,NA
1813,34+  40.  |  27+  51. [45.95],NA,NA
1264,32   50.  |  32+  42. [46.37],NA,NA
3141,30   51.  |  32+  42. [46.83],NA,NA
1124,32+  46.  |  29+  46. [47.25],NA,NA
312,32+  46.  |  25+  56. [52.03],NA,NA
2046,29+  52.  |  28+  49. [52.41],NA,NA
2214,29+  52.  |  28+  49. [52.41],NA,NA
869,34   43.  |  24+  59. [52.46],NA,NA
797,29+  52.  |  27+  51. [53.46],NA,NA
1134,29+  52.  |  26+  53. [54.74],NA,NA
1758,32+  46.  |  24+  59. [55.14],NA,NA
3467,27   62.  |  26+  53. [58.33],NA,NA
905,29   60.  |  25+  56. [58.72],NA,NA
1776,29+  52.  |  24+  59. [59.60],NA,NA
1713,29   60.  |  24+  59. [62.23],NA,NA
1135,21+  69.  |  25+  56. [63.39],NA,NA
3222,27   62.  |  24+  59. [63.50],NA,NA
948,27   62.  |  24+  59. [63.50],NA,NA
1583,26   65.  |  24+  59. [64.50],NA,NA
2217,23   67.  |  24+  59. [65.73],NA,NA
3903,23   67.  |  24+  59. [65.73],NA,NA
3211,24   66.  |  23+  70. [68.21],NA,NA
893,29+  52. [68.28],NA,NA
3991,21   73.  |  24+  59. [68.82],NA,NA
1592,21   73.  |  24+  59. [68.82],NA,NA
3228,21+  69.  |  23+  70. [70.50],NA,NA
3147,21+  69.  |  23   72. [71.25],NA,NA
3159,21   73.  |  18+  74. [74.00],NA,NA
1634,20+  76.  |  22   73. [74.48],NA,NA
1766,21+  69.  |  12+  79. [74.86],NA,NA
3220,20   77.  |  16+  76. [76.50],NA,NA
2223,16+  79.  |  17   75. [76.97],NA,NA
1055,16   80.  |  14+  77. [79.23],NA,NA
1523,19+  78.  |  11+  82. [79.97],NA,NA
2226,14+  83.  |  14+  77. [80.20],NA,NA
3229,16   80.  |  12+  79. [80.25],NA,NA
3226,16   80.  |  9+  83. [82.24],NA,NA
3163,11+  85.  |  12   81. [82.98],NA,NA
3165,13+  84.  |  9+  83. [83.75],NA,NA
