user_id,score0,score1,score2
1364,Top  1.  |  Top  1. [4.18],39+,Top
2332,Top  1.  |  Top  1. [4.18],35+,32
811,Top  1.  |  Top  1. [4.18],29+,31.5+
1559,37+  7.  |  35   12. [11.96],27+,30+
2272,Top  1.  |  Top  1. [4.18],28+,27+
855,Top  1.  |  Top  1. [4.18],30+,25+
1214,37+  7.  |  Top  1. [7.42],37+,12+
1361,37+  7.  |  35   12. [11.96],30+,12+
2257,19.8   57.  |  36+  11. [25.26],27+,NA
93,36+  16.  |  34   18. [17.47],26+,NA
1489,19.5   60.  |  Top  1. [17.68],26+,NA
437,31+  29.  |  Top  1. [12.14],23+,NA
1170,37+  7.  |  30+  22. [15.73],23+,NA
1741,32   26.  |  38   10. [16.43],23,NA
1135,37+  7.  |  29   25. [17.86],22+,NA
1138,37+  7.  |  23+  43. [22.25],22+,NA
3131,31+  29.  |  30+  22. [25.76],22+,NA
854,37+  7.  |  34+  15. [13.27],22,NA
696,33+  18.  |  34+  15. [17.20],19,NA
3125,Top  1.  |  32   21. [8.57],18,NA
519,37+  7.  |  20   52. [24.03],17,NA
2370,33   20.  |  Top  1. [10.37],13+,NA
649,33+  18.  |  35   12. [15.51],13+,NA
1749,37+  7.  |  34+  15. [13.27],13,NA
1389,31   31.  |  34   18. [24.33],12+,NA
648,33   20.  |  30   24. [22.72],11,NA
314,32+  24.  |  29   25. [26.66],NA,NA
1221,36+  16.  |  23+  43. [27.25],NA,NA
2301,26+  35.  |  33   20. [27.39],NA,NA
2667,32   26.  |  29   25. [27.98],NA,NA
864,32   26.  |  29   25. [27.98],NA,NA
2041,31   31.  |  29   25. [30.46],NA,NA
2307,33   20.  |  23+  43. [31.10],NA,NA
2052,27+  34.  |  29   25. [31.40],NA,NA
3582,26+  35.  |  29   25. [32.98],NA,NA
1255,32+  24.  |  23+  43. [33.20],NA,NA
165,26   41.  |  29   25. [35.31],NA,NA
3998,26+  35.  |  26+  35. [36.49],NA,NA
3586,33   20.  |  16+  61. [37.09],NA,NA
1264,22+  51.  |  29   25. [38.46],NA,NA
2334,26+  35.  |  25   41. [39.45],NA,NA
1124,26   41.  |  25+  37. [40.69],NA,NA
79,24+  46.  |  25+  37. [42.08],NA,NA
3126,31   31.  |  18   56. [42.33],NA,NA
1158,24   47.  |  25+  37. [42.54],NA,NA
338,26+  35.  |  23   48. [42.65],NA,NA
857,26   41.  |  22+  50. [46.37],NA,NA
2033,26   41.  |  20   52. [47.51],NA,NA
793,19.8+  56.  |  25   41. [48.21],NA,NA
1241,18+  68.  |  27   34. [48.26],NA,NA
67,22   52.  |  23+  43. [48.61],NA,NA
1134,19   67.  |  26+  35. [48.77],NA,NA
312,26+  35.  |  16+  61. [48.99],NA,NA
320,19+  66.  |  25+  37. [50.41],NA,NA
765,21+  54.  |  23   48. [51.41],NA,NA
1169,23   48.  |  18+  55. [51.91],NA,NA
544,26   41.  |  16+  61. [52.46],NA,NA
3136,19.8   57.  |  21   51. [54.39],NA,NA
2101,22   52.  |  17+  57. [55.42],NA,NA
1277,23   48.  |  16+  61. [56.00],NA,NA
1502,23   48.  |  16+  61. [56.00],NA,NA
3127,19.5   60.  |  19   54. [58.09],NA,NA
2218,21+  54.  |  16+  61. [59.06],NA,NA
1418,19.5   60.  |  17+  57. [60.47],NA,NA
3596,19.8   57.  |  16+  61. [60.93],NA,NA
2214,18+  68.  |  17+  57. [63.30],NA,NA
683,14+  70.  |  17+  57. [64.22],NA,NA
2217,19.5   60.  |  15+  68. [65.43],NA,NA
109,19.5   60.  |  15+  68. [65.43],NA,NA
1754,19.5   60.  |  13+  71. [66.61],NA,NA
11615,13+  72.  |  14   70. [70.99],NA,NA
1372,14+  70.  |  8+  72. [71.25],NA,NA
