user_id,score0,score1,score2
1364,Top  1.  |  Top  1. [9.49],31+,Top
2370,37+  11.  |  Top  1. [15.30],31+,Top
2276,37   16.  |  Top  1. [16.97],31+,Top
2332,Top  1.  |  Top  1. [9.49],35+,31+
811,Top  1.  |  Top  1. [9.49],31+,29+
2307,38   10.  |  Top  1. [13.42],31+,26
1749,Top  1.  |  Top  1. [9.49],31+,25+
1741,37+  11.  |  Top  1. [15.30],31+,23+
649,33+  21.  |  Top  1. [21.84],31+,NA
3125,33+  21.  |  Top  1. [21.84],31,NA
2272,Top  1.  |  Top  1. [9.49],28+,NA
854,33+  21.  |  Top  1. [21.84],28+,NA
3131,Top  1.  |  Top  1. [9.49],27+,NA
855,Top  1.  |  Top  1. [9.49],27+,NA
1389,Top  1.  |  32+  39. [14.40],27+,NA
2014,33+  21.  |  Top  1. [21.84],27+,NA
2947,36+  17.  |  Top  1. [18.00],25+,NA
79,37+  11.  |  Top  1. [15.30],24+,NA
1361,36+  17.  |  Top  1. [18.00],24+,NA
857,33+  21.  |  Top  1. [21.84],22,NA
3983,33+  21.  |  Top  1. [21.84],20+,NA
2101,37+  11.  |  Top  1. [15.30],18,NA
172,37+  11.  |  Top  1. [15.30],17+,NA
2072,36   20.  |  Top  1. [18.97],14,NA
437,Top  1.  |  Top  1. [9.49],8+,NA
1559,33+  21.  |  Top  1. [21.84],NA,NA
1138,32+  33.  |  Top  1. [24.56],NA,NA
1773,32+  33.  |  Top  1. [24.56],NA,NA
1489,31   35.  |  Top  1. [25.28],NA,NA
314,36+  17.  |  38+  36. [25.63],NA,NA
2052,30+  37.  |  Top  1. [26.50],NA,NA
320,30+  37.  |  Top  1. [26.50],NA,NA
1124,30+  37.  |  Top  1. [26.50],NA,NA
793,30+  37.  |  Top  1. [26.50],NA,NA
3582,30+  37.  |  Top  1. [26.50],NA,NA
318,29   42.  |  Top  1. [27.50],NA,NA
2041,12   53.  |  Top  1. [30.89],NA,NA
1778,33+  21.  |  38+  36. [31.10],NA,NA
2301,33+  21.  |  35+  38. [31.73],NA,NA
2334,33+  21.  |  32+  39. [33.16],NA,NA
2493,33+  21.  |  32+  39. [33.16],NA,NA
2667,33+  21.  |  32+  39. [33.16],NA,NA
165,31   35.  |  32+  39. [38.38],NA,NA
3361,23   43.  |  22+  46. [44.72],NA,NA
3268,19+  45.  |  30   45. [45.00],NA,NA
1502,15+  48.  |  32+  39. [45.09],NA,NA
1754,22   44.  |  22+  46. [45.23],NA,NA
2929,18+  46.  |  19+  48. [46.99],NA,NA
3211,16+  47.  |  18+  49. [47.99],NA,NA
2530,15+  48.  |  16+  50. [49.74],NA,NA
109,13   51.  |  16+  50. [51.00],NA,NA
3270,15+  48.  |  7   55. [51.91],NA,NA
3278,13   51.  |  14   53. [52.24],NA,NA
11175,8+  55.  |  15   52. [53.48],NA,NA
1372,10   54.  |  13+  54. [54.00],NA,NA
