user_id,score0,score1,score2
1364,Top  1.  |  31   22. [9.07],37+,34+
2574,Top  1.  |  32+  7. [6.06],40+,33+
1214,Top  1.  |  Top  1. [3.50],30+,33+
2276,Top  1.  |  Top  1. [3.50],38,30
1559,31+  9.  |  Top  1. [5.61],37+,30
855,28+  18.  |  Top  1. [8.05],29+,29+
2332,32+  8.  |  Top  1. [5.29],31+,28+
2667,29+  11.  |  32+  7. [11.68],29+,27+
1389,30+  10.  |  32   15. [12.25],29+,NA
1129,29   16.  |  31+  16. [17.47],29+,NA
3582,27   23.  |  31   22. [23.99],28+,NA
2307,28   20.  |  29   30. [24.49],28+,NA
93,Top  1.  |  32+  7. [6.06],27+,NA
2272,29+  11.  |  32+  7. [11.68],26+,NA
1361,27   23.  |  32+  7. [16.04],26+,NA
1773,25   33.  |  32+  7. [18.89],26+,NA
648,27   23.  |  31+  16. [21.29],26+,NA
2041,27   23.  |  31+  16. [21.29],26+,NA
854,22+  46.  |  32+  7. [22.10],26+,NA
1135,29+  11.  |  27   38. [22.95],26+,NA
1741,29+  11.  |  31   22. [17.48],26,NA
2368,26.5   27.  |  31+  16. [22.35],26,NA
4299,Top  1.  |  Top  1. [3.50],25+,NA
2052,27+  21.  |  31+  16. [19.94],25+,NA
437,33+  7.  |  32+  7. [8.57],21+,NA
172,29+  11.  |  28   33. [21.02],14+,NA
1170,28+  18.  |  28   33. [25.08],NA,NA
1124,27+  21.  |  28+  31. [26.02],NA,NA
2334,24+  36.  |  31+  16. [26.16],NA,NA
1778,26+  28.  |  30   28. [28.25],NA,NA
811,29   16.  |  24   48. [28.43],NA,NA
2485,24   39.  |  31   22. [30.66],NA,NA
3422,25+  31.  |  28   33. [32.73],NA,NA
320,24+  36.  |  29+  29. [32.76],NA,NA
65,26+  28.  |  26+  44. [35.41],NA,NA
2033,25+  31.  |  27   38. [35.72],NA,NA
793,25   33.  |  27   38. [37.11],NA,NA
2947,20   53.  |  30+  26. [37.83],NA,NA
857,23+  42.  |  27+  36. [39.39],NA,NA
3131,19+  56.  |  30+  26. [39.54],NA,NA
490,25   33.  |  24+  47. [39.97],NA,NA
1138,23+  42.  |  27   38. [41.49],NA,NA
2218,22   48.  |  27+  36. [42.29],NA,NA
3983,19+  56.  |  28+  31. [43.11],NA,NA
645,24+  36.  |  23+  51. [43.65],NA,NA
3989,24   39.  |  24   48. [44.27],NA,NA
1754,23   44.  |  25+  45. [44.75],NA,NA
165,26   30.  |  14   70. [46.80],NA,NA
3998,24   39.  |  21   57. [47.75],NA,NA
523,23   44.  |  23   53. [48.56],NA,NA
2493,19+  56.  |  27   38. [48.88],NA,NA
3361,19   63.  |  27   38. [50.91],NA,NA
314,22   48.  |  22+  54. [51.44],NA,NA
185,19+  56.  |  25   46. [52.10],NA,NA
1926,20   53.  |  23+  51. [52.74],NA,NA
3136,22+  46.  |  18+  60. [53.48],NA,NA
2217,21+  51.  |  19+  59. [55.12],NA,NA
2763,19   63.  |  24   48. [56.00],NA,NA
5022,20   53.  |  18+  60. [57.63],NA,NA
7613,21+  51.  |  14+  69. [59.61],NA,NA
3213,22   48.  |  14   70. [59.81],NA,NA
3991,18+  66.  |  21+  55. [61.88],NA,NA
3211,19+  56.  |  18   64. [61.93],NA,NA
109,19+  56.  |  18   64. [61.93],NA,NA
2631,19+  56.  |  16+  67. [63.11],NA,NA
2101,19   63.  |  16+  67. [65.73],NA,NA
1558,18+  66.  |  18   64. [66.97],NA,NA
4003,12+  78.  |  18+  60. [70.14],NA,NA
1801,11   84.  |  20   58. [70.83],NA,NA
865,10+  90.  |  21+  55. [70.87],NA,NA
2649,18+  66.  |  14   70. [70.97],NA,NA
3728,11   84.  |  18+  60. [72.94],NA,NA
2514,18+  66.  |  13+  77. [73.36],NA,NA
3929,18+  66.  |  13   80. [74.99],NA,NA
1057,18   73.  |  13+  77. [75.72],NA,NA
4001,18+  66.  |  12   84. [77.03],NA,NA
2146,18   73.  |  13   80. [77.40],NA,NA
2508,11   84.  |  14   70. [79.46],NA,NA
1593,11   84.  |  14   70. [79.46],NA,NA
3172,18+  66.  |  11+  89. [79.67],NA,NA
4208,12+  78.  |  13   80. [80.75],NA,NA
1372,12+  78.  |  13   80. [80.75],NA,NA
3930,16   76.  |  12   84. [80.85],NA,NA
3141,9   93.  |  14   70. [83.06],NA,NA
2657,10+  90.  |  13+  77. [84.02],NA,NA
2627,13+  77.  |  11+  89. [84.17],NA,NA
2658,17   75.  |  11   96. [84.85],NA,NA
2214,14   70. [85.01],NA,NA
2845,12+  78.  |  11+  89. [85.79],NA,NA
3737,12+  78.  |  11+  89. [85.79],NA,NA
11414,11   84.  |  12   84. [86.25],NA,NA
10868,12   83.  |  11+  89. [87.38],NA,NA
4213,9+  92.  |  12   84. [88.95],NA,NA
1052,9   93.  |  12   84. [90.15],NA,NA
2929,11   84.  |  7   98. [92.07],NA,NA
3939,9   93.  |  11+  89. [93.24],NA,NA
4214,9   93.  |  11+  89. [93.24],NA,NA
11703,6+  97.  |  10+  97. [97.00],NA,NA
1480,2+  98.  |  2   99. [98.50],NA,NA
