user_id,score0,score1
105,5.683,5.59
7613,5.769,5.81
865,6.182,5.85
3471,5.657,6.43
98,5.932,5.843
1492,5.964,5.848
1372,6.059,5.92
2962,5.820,8.27
3268,6.112,6.00
3270,5.812,6.06
2950,6.028,6.11
146,6.053,6.12
2845,6.179,6.20
154,6.138,6.44
3278,5.598,7.09
2951,6.054,8.35
1754,6.225,NA
899,6.227,NA
3211,6.251,NA
11460,6.296,NA
11409,6.319,NA
85,6.523,NA
523,6.572,NA
2929,6.612,NA
11461,6.627,NA
2958,6.631,NA
2272,6.644,NA
11414,6.668,NA
857,6.728,NA
490,6.752,NA
3422,6.812,NA
3213,6.882,NA
2218,6.893,NA
320,6.979,NA
2947,7.005,NA
2307,7.094,NA
648,7.095,NA
1214,7.115,NA
2041,7.135,NA
2217,7.151,NA
1559,7.162,NA
2332,7.232,NA
11454,7.266,NA
1778,7.324,NA
3131,7.363,NA
2052,7.466,NA
1124,7.517,NA
4299,7.533,NA
1234,7.590,NA
645,7.634,NA
165,7.719,NA
318,7.789,NA
505,7.794,NA
2276,7.798,NA
1773,7.817,NA
854,7.981,NA
1741,8.035,NA
3983,8.049,NA
314,8.155,NA
2226,8.178,NA
3280,8.182,NA
3991,8.190,NA
3998,8.270,NA
855,8.274,NA
1926,8.290,NA
1472,8.378,NA
486,8.389,NA
1138,8.540,NA
2667,8.624,NA
765,8.662,NA
864,8.732,NA
89,9.126,NA
2514,9.137,NA
2519,9.289,NA
1489,9.291,NA
3989,9.394,NA
3728,9.526,NA
634,9.688,NA
2334,9.892,NA
2658,10.137,NA
2574,10.233,NA
67,11.173,NA
3737,11.383,NA
2687,11.865,NA
474,False start,NA
