user_id,score0,score1,score2
1214,9. [9.38],38+,36+
1364,1. [1.22],34,36+
2574,4. [4.69],35+,33.5
2307,12. [12.37],34+,31+
1129,1. [2.24],39,29+
1389,7. [8.89],34,29+
2291,8. [9.35],34,29+
4299,6. [6.00],34,23
854,6. [8.14],34,20+
2332,10. [10.58],34,16+
1221,4. [4.69],33,NA
3577,8. [8.25],33,NA
2276,5. [6.24],32+,NA
314,7. [7.35],32+,NA
648,9. [9.54],32+,NA
463,12. [13.85],32+,NA
2667,11. [12.12],31+,NA
2336,11. [12.69],31+,NA
1234,13. [14.49],31+,NA
1741,2. [3.54],27,NA
79,10. [10.58],24+,NA
855,2. [1.73],23,NA
1773,3. [5.36],22,NA
864,3. [4.58],19+,NA
1170,4. [5.66],19+,NA
1489,13. [13.36],19+,NA
1135,14. [14.66],NA,NA
2272,14. [14.31],NA,NA
3131,15. [14.73],NA,NA
3422,15. [15.43],NA,NA
2309,16. [15.43],NA,NA
65,16. [17.94],NA,NA
2052,17. [17.39],NA,NA
320,17. [18.21],NA,NA
1124,18. [20.15],NA,NA
1251,18. [17.78],NA,NA
1559,19. [20.58],NA,NA
1361,19. [17.78],NA,NA
61,20. [19.62],NA,NA
318,20. [21.74],NA,NA
649,20. [19.62],NA,NA
3427,21. [21.86],NA,NA
775,22. [20.06],NA,NA
3989,22. [22.20],NA,NA
911,23. [22.52],NA,NA
308,23. [20.48],NA,NA
172,23. [22.52],NA,NA
773,24. [22.27],NA,NA
437,25. [23.22],NA,NA
1134,25. [22.39],NA,NA
792,26. [22.86],NA,NA
1723,26. [24.08],NA,NA
1778,27. [24.32],NA,NA
3361,27. [25.26],NA,NA
523,28. [27.46],NA,NA
2947,28. [24.42],NA,NA
797,29. [28.00],NA,NA
1593,29. [25.58],NA,NA
634,30. [28.35],NA,NA
3901,30. [27.00],NA,NA
857,31. [30.46],NA,NA
2046,31. [28.43],NA,NA
3983,32. [29.43],NA,NA
2763,32. [31.75],NA,NA
2041,33. [32.54],NA,NA
2767,33. [32.54],NA,NA
3998,33. [31.82],NA,NA
173,33. [32.54],NA,NA
2057,34. [34.29],NA,NA
645,35. [34.90],NA,NA
103,36. [32.79],NA,NA
1384,36. [35.55],NA,NA
793,37. [34.64],NA,NA
2257,37. [36.75],NA,NA
3136,38. [35.64],NA,NA
3991,38. [37.97],NA,NA
3358,39. [36.18],NA,NA
3222,39. [38.16],NA,NA
3213,39. [38.16],NA,NA
490,40. [36.33],NA,NA
3211,41. [36.40],NA,NA
1558,41. [38.83],NA,NA
2493,42. [39.00],NA,NA
3138,42. [39.00],NA,NA
3061,42. [39.19],NA,NA
3460,43. [40.00],NA,NA
2218,44. [40.20],NA,NA
3172,44. [41.38],NA,NA
1754,45. [41.73],NA,NA
3141,45. [43.54],NA,NA
231,45. [43.54],NA,NA
2214,46. [42.16],NA,NA
1367,47. [43.87],NA,NA
776,47. [43.87],NA,NA
1713,47. [43.87],NA,NA
3220,47. [43.87],NA,NA
1502,47. [42.66],NA,NA
2840,48. [45.25],NA,NA
3903,49. [45.83],NA,NA
2649,50. [49.07],NA,NA
1052,51. [45.97],NA,NA
3147,51. [49.50],NA,NA
4003,52. [47.03],NA,NA
3916,52. [53.54],NA,NA
1505,53. [53.75],NA,NA
7613,53. [50.25],NA,NA
1418,54. [50.99],NA,NA
3728,54. [54.74],NA,NA
2769,55. [55.39],NA,NA
2633,55. [55.39],NA,NA
2991,55. [51.53],NA,NA
2627,56. [54.98],NA,NA
2073,57. [56.00],NA,NA
2076,57. [56.75],NA,NA
3208,58. [56.23],NA,NA
3899,58. [57.68],NA,NA
3923,59. [58.22],NA,NA
4001,59. [57.75],NA,NA
865,60. [58.69],NA,NA
4125,60. [58.50],NA,NA
2761,61. [59.19],NA,NA
4119,61. [59.75],NA,NA
2845,62. [61.00],NA,NA
2456,62. [60.75],NA,NA
