user_id,score0,score1,score2
855,39+  5.  |  39+  14. [10.07],43+,Top
1214,Top  1.  |  Top  1. [4.18],50,48+
2574,Top  1.  |  Top  1. [4.18],45+,46+
1129,37+  14.  |  Top  1. [13.10],33+,46+
648,37+  14.  |  39   16. [19.80],33+,43+
2336,37+  14.  |  Top  1. [13.10],32,43+
2370,39+  5.  |  36+  22. [13.36],33,40+
4299,39+  5.  |  25   58. [21.00],40,30+
1389,37+  14.  |  36+  22. [24.99],32,NA
1741,Top  1.  |  35+  33. [9.35],31+,NA
864,37+  14.  |  36+  22. [24.99],31,NA
2276,37+  14.  |  Top  1. [13.10],30+,NA
854,37+  14.  |  38   19. [22.14],30+,NA
3125,37+  14.  |  36+  22. [24.99],30,NA
3131,37+  14.  |  Top  1. [13.10],29+,NA
2667,38+  12.  |  38+  17. [14.49],29+,NA
2334,35+  42.  |  Top  1. [17.45],29+,NA
2039,37+  14.  |  38   19. [22.14],29+,NA
2301,38.5   11.  |  Top  1. [8.77],29,NA
2272,37+  14.  |  Top  1. [13.10],28+,NA
2041,37+  14.  |  36+  22. [24.99],28+,NA
3989,38.5+  10.  |  38   19. [14.14],24,NA
776,39+  5.  |  25   58. [21.00],24,NA
1170,39+  5.  |  Top  1. [7.00],23+,NA
532,37+  14.  |  Top  1. [13.10],23+,NA
2368,37+  14.  |  Top  1. [13.10],23+,NA
437,Top  1.  |  36+  22. [7.98],20,NA
2309,37+  14.  |  Top  1. [13.10],3,NA
1772,38   13.  |  25+  47. [26.00],NA,NA
470,36+  38.  |  38+  17. [26.12],NA,NA
463,37+  14.  |  36   30. [27.56],NA,NA
1234,37+  14.  |  35+  33. [29.28],NA,NA
3427,31+  57.  |  39+  14. [29.37],NA,NA
3577,37+  14.  |  34   38. [30.71],NA,NA
314,37+  14.  |  29   40. [31.50],NA,NA
519,37+  14.  |  25+  47. [35.69],NA,NA
61,37   36.  |  35+  33. [35.74],NA,NA
172,34   52.  |  36+  22. [36.76],NA,NA
3422,35   46.  |  36   30. [37.76],NA,NA
318,36   41.  |  35+  33. [37.88],NA,NA
911,34+  47.  |  36   30. [38.97],NA,NA
765,37+  14.  |  25   58. [39.29],NA,NA
2493,36+  38.  |  26+  43. [41.42],NA,NA
621,29+  70.  |  36+  22. [42.25],NA,NA
1135,37   36.  |  25+  47. [43.57],NA,NA
486,35+  42.  |  26+  43. [43.75],NA,NA
1124,35+  42.  |  26   46. [44.73],NA,NA
773,37+  14.  |  17+  97. [50.11],NA,NA
1773,34+  47.  |  25+  47. [50.48],NA,NA
775,30   66.  |  34   38. [50.98],NA,NA
516,30   66.  |  29   40. [52.29],NA,NA
857,31   63.  |  26+  43. [53.07],NA,NA
2947,36+  38.  |  24+  69. [53.72],NA,NA
2332,34+  47.  |  25   58. [55.56],NA,NA
649,25+  87.  |  35+  33. [55.81],NA,NA
320,28+  77.  |  27+  42. [57.24],NA,NA
2840,31   63.  |  25+  47. [57.69],NA,NA
308,34   52.  |  25   58. [57.78],NA,NA
3211,31+  57.  |  25   58. [61.22],NA,NA
3983,31+  57.  |  25   58. [61.22],NA,NA
2014,29   71.  |  25+  47. [61.82],NA,NA
1593,29   71.  |  25+  47. [61.82],NA,NA
339,35+  42.  |  18+  89. [62.74],NA,NA
2931,34+  47.  |  23   84. [64.16],NA,NA
60,28   80.  |  25+  47. [65.10],NA,NA
2032,28   80.  |  25+  47. [65.10],NA,NA
3889,28   80.  |  25+  47. [65.10],NA,NA
490,31+  57.  |  24+  69. [66.36],NA,NA
544,25+  87.  |  25+  47. [68.03],NA,NA
531,32   56.  |  20   86. [69.40],NA,NA
2289,28+  77.  |  25   58. [70.10],NA,NA
3136,30   66.  |  24+  69. [70.68],NA,NA
1489,34   52.  |  18   93. [70.77],NA,NA
1134,34+  47.  |  17+  97. [70.87],NA,NA
3141,31+  57.  |  19   87. [72.15],NA,NA
1221,27   85.  |  25   58. [73.39],NA,NA
3586,29   71.  |  24+  69. [73.75],NA,NA
1754,29   71.  |  24+  69. [73.75],NA,NA
816,30   66.  |  23+  83. [74.85],NA,NA
1472,25+  87.  |  25   58. [74.88],NA,NA
1713,31+  57.  |  18   93. [74.98],NA,NA
593,33+  55.  |  17+  97. [75.08],NA,NA
1384,25   92.  |  25   58. [77.16],NA,NA
2865,28   80.  |  24+  69. [77.66],NA,NA
3361,29   71.  |  19   87. [80.20],NA,NA
634,31   63.  |  17+  97. [80.99],NA,NA
109,27+  84.  |  24   80. [82.49],NA,NA
3147,27   85.  |  24   80. [83.22],NA,NA
312,29   71.  |  18   93. [83.34],NA,NA
3358,25   92.  |  24+  69. [83.62],NA,NA
1241,25   92.  |  24+  69. [83.62],NA,NA
518,25   92.  |  24+  69. [83.62],NA,NA
797,28+  77.  |  18+  89. [84.02],NA,NA
786,19+  103.  |  24+  69. [87.73],NA,NA
1946,19   106.  |  24+  69. [88.77],NA,NA
1558,24+  98.  |  24   80. [89.55],NA,NA
880,25   92.  |  18+  89. [92.48],NA,NA
523,24   101.  |  22   85. [92.66],NA,NA
3222,24+  98.  |  18+  89. [94.65],NA,NA
1367,25+  87.  |  17+  97. [95.51],NA,NA
4003,25+  87.  |  17+  97. [95.51],NA,NA
492,24+  98.  |  18   93. [96.72],NA,NA
3138,25   92.  |  17+  97. [98.42],NA,NA
3367,21   102.  |  17+  97. [102.25],NA,NA
3359,19+  103.  |  17+  97. [103.25],NA,NA
3220,19   106.  |  17+  97. [104.48],NA,NA
1502,17   108.  |  17+  97. [105.21],NA,NA
1688,17+  97. [106.67],NA,NA
3916,19+  103.  |  14+  110. [107.20],NA,NA
3915,10+  109.  |  16+  109. [109.00],NA,NA
3360,10   110.  |  14+  110. [110.25],NA,NA
