user_id,score0,score1
865,5.970,6.87
1372,6.030,FALL
74,6.088,5.83
1480,5.889,5.93
1492,5.966,5.86
3471,5.757,7.24
3361,6.051,7.61
2929,6.086,FALSE START
98,5.647,5.61
2951,6.011,6.07
105,5.542,6.15
11414,5.790,6.44
7613,5.730,7.47
1754,6.051,9.38
3362,5.937,FALL
198,5.959,FALL
3477,6.115,NA
899,6.133,NA
2845,6.165,NA
3211,6.209,NA
523,6.280,NA
2276,6.292,NA
2958,6.351,NA
109,6.351,NA
1801,6.416,NA
165,6.458,NA
2218,6.487,NA
3213,6.628,NA
2272,6.640,NA
857,6.827,NA
2947,6.828,NA
2332,6.887,NA
2052,6.932,NA
1778,6.933,NA
3422,6.943,NA
2631,6.984,NA
1559,6.997,NA
2307,7.042,NA
2334,7.123,NA
648,7.309,NA
490,7.333,NA
320,7.354,NA
3141,7.360,NA
855,7.364,NA
811,7.397,NA
2041,7.430,NA
1773,7.441,NA
4299,7.475,NA
3929,7.553,NA
1124,7.569,NA
645,7.610,NA
793,7.657,NA
2101,7.661,NA
2217,7.678,NA
854,7.707,NA
3131,7.752,NA
2649,7.830,NA
1364,7.867,NA
1214,7.940,NA
3983,7.972,NA
2033,7.974,NA
1052,7.981,NA
3939,7.998,NA
3582,8.026,NA
1741,8.137,NA
2214,8.143,NA
3998,8.277,NA
2508,8.322,NA
3931,8.342,NA
2514,8.532,NA
314,8.598,NA
2627,8.598,NA
1926,8.696,NA
3991,8.848,NA
2574,8.945,NA
1138,9.009,NA
1558,9.198,NA
3136,9.202,NA
2667,9.277,NA
4208,9.366,NA
2493,9.546,NA
3728,9.727,NA
1129,9.786,NA
2657,9.833,NA
1361,9.912,NA
3989,10.062,NA
4001,10.222,NA
1389,10.386,NA
4213,10.423,NA
3737,10.499,NA
3172,10.571,NA
2658,11.580,NA
437,11.732,NA
4003,12.334,NA
4214,13.306,NA
4336,False start,NA
2950,False start,NA
5022,False start,NA
3937,False start,NA
