user_id,score0,score1,score2
1741,9.64,40,38
2574,5.61,37+,35+
1929,7.04,36,31+
3125,18.04,37+,26.5+
811,12.96,40+,26.5
547,8.31,36,26
2261,18.04,37+,12
12879,14.78,36+,11+
2272,9.64,36,NA
93,14.73,36,NA
855,4.24,35+,NA
4299,6.93,34+,NA
11390,10.36,34+,NA
2336,18.04,34+,NA
1129,9.64,33+,NA
1251,13.78,31+,NA
11871,15.3,31+,NA
854,18.56,31,NA
1644,19.08,29+,NA
2667,14.78,28+,NA
3998,15.23,28+,NA
1778,20.07,28+,NA
320,21.2,28+,NA
1135,7.55,28,NA
1170,9.64,28,NA
979,18.04,26+,NA
3586,23.27,NA,NA
1274,26.7,NA,NA
765,26.7,NA,NA
1134,28.66,NA,NA
3361,29.09,NA,NA
2004,31.0,NA,NA
1361,31.0,NA,NA
79,32.47,NA,NA
1277,33.41,NA,NA
3889,33.41,NA,NA
793,35.87,NA,NA
11675,36.93,NA,NA
518,36.93,NA,NA
3199,36.93,NA,NA
1489,38.17,NA,NA
857,39.57,NA,NA
3596,40.34,NA,NA
2825,41.85,NA,NA
165,42.77,NA,NA
4284,42.81,NA,NA
2894,44.16,NA,NA
2014,44.16,NA,NA
4283,44.54,NA,NA
85,44.54,NA,NA
1946,47.0,NA,NA
2767,47.97,NA,NA
11847,49.2,NA,NA
1688,49.67,NA,NA
1158,50.96,NA,NA
3427,53.42,NA,NA
2763,54.18,NA,NA
3989,56.71,NA,NA
2670,57.66,NA,NA
1513,58.6,NA,NA
801,59.21,NA,NA
865,60.88,NA,NA
813,61.71,NA,NA
4003,62.19,NA,NA
8861,63.71,NA,NA
11837,64.45,NA,NA
4046,64.99,NA,NA
1534,67.5,NA,NA
