user_id,score0,score1,score2
1741,4t6 4b6,1t1 3b5,3t5 3b3
1729,4t4 4b4,2t2 3b4,2t2 3b3
6393,3t9 4b9,2t7 3b9,2t2 3b3
1576,3t10 4b10,3t12 3b11,2t4 3b6
11161,1t3 3b4,1t2 3b10,1t2 2b2
1573,2t2 4b5,1t2 3b7,1t3 3b3
10749,0t 4b13,1t3 3b5,NA
10949,3t6 4b6,1t3 3b8,NA
6352,2t9 4b13,1t5 1b1,NA
4397,1t6 4b12,0t 3b4,NA
1580,2t4 3b4,0t 3b5,NA
1588,2t5 4b12,0t 3b6,NA
10886,3t7 4b7,0t 3b7,NA
11205,2t4 4b6,0t 2b4,NA
11162,2t9 4b9,0t 2b5,NA
6361,1t1 2b3,0t 1b1,NA
3159,1t3 3b10,0t 1b1,NA
10948,2t3 4b12,0t 1b2,NA
10950,1t6 4b17,0t 1b4,NA
11071,3t13 4b13,0t 1b7,NA
6403,0t 4b17,NA,NA
10958,0t 3b10,NA,NA
10947,0t 2b7,NA,NA
6187,0t 1b1,NA,NA
