user_id,score0,score1,score2
2261,12.96,41+,37
1170,10.95,41,31+
3125,9.8,40+,31+
1129,3.71,29+,31+
1489,16.84,37+,30+
11390,12.96,40+,16+
1134,10.49,34+,15+
11832,5.74,33+,15+
1135,10.49,29+,NA
1361,12.41,29+,NA
532,18.17,29+,NA
855,5.74,29,NA
1251,8.22,28+,NA
3131,11.46,27+,NA
1741,9.53,26+,NA
519,25.72,26,NA
3577,7.6,25+,NA
2014,18.76,25+,NA
645,12.07,25,NA
854,16.97,25,NA
1029,26.65,25,NA
649,16.96,24,NA
12879,9.08,23+,NA
2306,14.12,23+,NA
979,25.72,21+,NA
4299,3.71,11+,NA
1234,26.99,NA,NA
1138,27.95,NA,NA
547,28.06,NA,NA
505,28.2,NA,NA
1169,29.7,NA,NA
2057,29.96,NA,NA
912,33.7,NA,NA
648,33.99,NA,NA
793,34.6,NA,NA
3199,35.05,NA,NA
2493,35.41,NA,NA
3127,39.23,NA,NA
3586,40.1,NA,NA
12032,40.19,NA,NA
1274,40.62,NA,NA
3596,41.28,NA,NA
634,41.71,NA,NA
3126,43.24,NA,NA
2203,43.82,NA,NA
1187,44.09,NA,NA
3989,44.67,NA,NA
1158,46.02,NA,NA
1932,46.96,NA,NA
8861,47.24,NA,NA
1277,47.5,NA,NA
1933,47.84,NA,NA
12690,51.74,NA,NA
1005,52.39,NA,NA
2201,54.46,NA,NA
11647,55.24,NA,NA
12700,55.42,NA,NA
2508,56.75,NA,NA
12863,59.24,NA,NA
11534,59.25,NA,NA
12310,59.75,NA,NA
