user_id,score0,score1,score2
2309,5T5z 6 5,4T4z 11 6,4T4z 11 9
2276,5T5z 13 11,4T4z 12 5,3T4z 5 5
2052,4T5z 9 10,4T4z 7 6,3T4z 6 7
3422,3T4z 5 5,4T4z 11 6,2T4z 4 6
1364,5T5z 9 9,4T4z 14 13,2T3z 3 4
1559,3T4z 8 8,3T4z 4 5,1T3z 3 9
2337,4T5z 11 11,3T4z 8 7,NA
1778,4T5z 6 8,3T4z 8 8,NA
2272,4T4z 11 10,3T4z 9 12,NA
2307,5T5z 13 7,3T4z 10 8,NA
2291,3T5z 5 18,2T4z 3 6,NA
2332,5T5z 10 9,2T4z 4 8,NA
2574,4T4z 13 11,2T4z 4 9,NA
1988,4T5z 10 11,2T3z 4 7,NA
2385,4T5z 11 15,1T4z 1 10,NA
2334,5T5z 12 9,1T4z 2 9,NA
8958,3T5z 7 7,1T3z 1 9,NA
1741,4T4z 4 4,1T3z 3 10,NA
3131,4T5z 8 8,1T3z 4 4,NA
1949,4T5z 8 9,1T3z 6 12,NA
505,3T4z 10 12,NA,NA
1124,3T4z 4 5,NA,NA
1255,3T4z 7 8,NA,NA
793,3T4z 14 12,NA,NA
685,3T3z 3 3,NA,NA
1773,3T3z 5 4,NA,NA
318,2T4z 8 8,NA,NA
2257,3T3z 4 4,NA,NA
320,2T4z 2 11,NA,NA
1245,2T4z 8 14,NA,NA
523,2T4z 2 14,NA,NA
1934,2T4z 11 13,NA,NA
857,2T3z 3 4,NA,NA
1131,2T3z 2 3,NA,NA
3983,2T3z 3 5,NA,NA
1593,2T3z 4 3,NA,NA
854,2T3z 5 6,NA,NA
1558,2T3z 4 5,NA,NA
765,2T3z 5 4,NA,NA
4197,2T3z 12 13,NA,NA
1614,1T4z 2 15,NA,NA
1586,2T3z 5 5,NA,NA
7613,1T4z 7 24,NA,NA
645,1T4z 1 5,NA,NA
811,1T3z 4 16,NA,NA
1713,1T3z 2 8,NA,NA
1926,1T3z 3 7,NA,NA
4397,1T3z 7 4,NA,NA
1801,1T3z 5 7,NA,NA
3211,1T2z 6 10,NA,NA
7464,1T2z 4 9,NA,NA
11651,0T3z 0 10,NA,NA
1754,0T2z 0 4,NA,NA
9933,0T1z 0 6,NA,NA
6403,0T0z 0 0,NA,NA
3220,0T2z 0 11,NA,NA
11652,0T0z 0 0,NA,NA
