user_id,score0,score1,score2
2309,5T5z 8 6,3T4z 5 4,2T2z 7 7
2276,3T5z 6 7,3T4z 4 6,1T3z 2 11
2272,5T5z 11 8,4T4z 8 4,1T1z 2 2
1256,2T5z 4 7,3T4z 8 11,1T1z 2 2
318,2T5z 6 7,3T3z 8 5,1T1z 10 10
1778,2T5z 2 10,3T4z 5 9,0T1z 0 2
79,3T5z 9 7,3T3z 11 9,NA
2052,5T5z 17 12,2T4z 2 5,NA
1929,2T5z 5 8,2T4z 4 5,NA
2257,4T5z 18 17,2T4z 5 4,NA
3131,3T4z 8 11,2T4z 5 6,NA
2574,2T5z 6 8,2T4z 6 9,NA
2332,4T5z 13 11,2T3z 2 5,NA
1214,3T5z 6 6,2T3z 5 6,NA
11871,3T5z 6 7,1T4z 1 6,NA
2291,3T5z 17 17,1T4z 2 12,NA
1138,3T5z 13 11,1T4z 4 13,NA
523,2T5z 3 5,1T4z 5 6,NA
3422,2T5z 4 9,1T3z 2 4,NA
11675,2T5z 4 10,1T3z 6 5,NA
2798,2T5z 4 12,NA,NA
1149,2T4z 6 7,NA,NA
1131,2T5z 6 8,NA,NA
1145,2T4z 8 9,NA,NA
3983,2T5z 7 18,NA,NA
11832,1T5z 2 11,NA,NA
1245,1T5z 3 10,NA,NA
4168,1T5z 2 6,NA,NA
85,1T5z 3 8,NA,NA
1871,1T5z 6 13,NA,NA
857,1T4z 2 11,NA,NA
89,1T5z 3 11,NA,NA
11525,1T4z 3 11,NA,NA
67,1T5z 4 15,NA,NA
2265,1T4z 5 9,NA,NA
3591,1T4z 1 7,NA,NA
490,0T5z 0 10,NA,NA
554,1T4z 4 12,NA,NA
3998,0T4z 0 7,NA,NA
1758,1T4z 6 12,NA,NA
811,0T5z 0 9,NA,NA
793,0T4z 0 8,NA,NA
1279,0T4z 0 12,NA,NA
4252,0T5z 0 10,NA,NA
3127,0T3z 0 3,NA,NA
320,0T5z 0 16,NA,NA
1741,0T3z 0 5,NA,NA
165,0T5z 0 17,NA,NA
4019,0T5z 0 17,NA,NA
3199,0T3z 0 6,NA,NA
1124,0T4z 0 8,NA,NA
2202,0T3z 0 8,NA,NA
1317,0T3z 0 8,NA,NA
911,0T4z 0 11,NA,NA
2670,0T4z 0 13,NA,NA
4303,0T3z 0 10,NA,NA
814,0T4z 0 15,NA,NA
3596,0T3z 0 14,NA,NA
2191,0T3z 0 21,NA,NA
1489,0T4z 0 17,NA,NA
2667,0T2z 0 5,NA,NA
3991,0T3z 0 4,NA,NA
3989,0T3z 0 6,NA,NA
12456,0T2z 0 6,NA,NA
3854,0T3z 0 6,NA,NA
2179,0T2z 0 6,NA,NA
2174,0T2z 0 7,NA,NA
2767,0T2z 0 7,NA,NA
2508,0T2z 0 7,NA,NA
1513,0T3z 0 7,NA,NA
2201,0T3z 0 8,NA,NA
12459,0T3z 0 10,NA,NA
838,0T3z 0 10,NA,NA
2894,0T3z 0 10,NA,NA
3084,0T2z 0 8,NA,NA
185,0T2z 0 8,NA,NA
1384,0T2z 0 9,NA,NA
4306,0T2z 0 9,NA,NA
11481,0T3z 0 11,NA,NA
3586,0T3z 0 14,NA,NA
1496,0T2z 0 10,NA,NA
1437,0T2z 0 5,NA,NA
11518,0T2z 0 16,NA,NA
1449,0T2z 0 8,NA,NA
2677,0T1z 0 1,NA,NA
11572,0T2z 0 17,NA,NA
11837,0T1z 0 1,NA,NA
4156,0T1z 0 1,NA,NA
1534,0T1z 0 2,NA,NA
11847,0T1z 0 3,NA,NA
1340,0T1z 0 3,NA,NA
8861,0T1z 0 3,NA,NA
12230,0T1z 0 3,NA,NA
12346,0T1z 0 2,NA,NA
12508,0T1z 0 3,NA,NA
865,0T1z 0 3,NA,NA
3428,0T1z 0 4,NA,NA
1418,0T1z 0 5,NA,NA
4391,0T1z 0 5,NA,NA
4125,0T1z 0 6,NA,NA
818,0T1z 0 5,NA,NA
7613,0T1z 0 8,NA,NA
2726,0T0z 0 0,NA,NA
2812,0T0z 0 0,NA,NA
4378,0T0z 0 0,NA,NA
12857,0T0z 0 0,NA,NA
12803,0T0z 0 0,NA,NA
11766,0T0z 0 0,NA,NA
2763,0T1z 0 9,NA,NA
2730,0T0z 0 0,NA,NA
11533,0T0z 0 0,NA,NA
2787,0T0z 0 0,NA,NA
11534,0T0z 0 0,NA,NA
4119,0T0z 0 0,NA,NA
