user_id,score0,score1,score2
1364,4T5z 14 9,3T3z 7 6,3T3z 10 7
2309,2T5z 8 11,2T3z 6 8,2T4z 7 9
2291,2T5z 6 12,2T3z 5 6,1T4z 4 12
2272,4T5z 5 5,2T2z 6 2,1T3z 1 4
1778,3T5z 5 6,2T2z 4 3,1T3z 2 5
11871,3T5z 5 17,2T3z 10 11,0T3z 0 4
1124,3T5z 11 11,2T2z 7 6,NA
2574,3T5z 8 9,2T2z 8 3,NA
1131,2T5z 8 13,2T2z 10 10,NA
1129,3T5z 3 6,1T2z 1 9,NA
490,3T5z 14 17,1T2z 2 5,NA
11675,2T5z 5 18,1T2z 2 6,NA
1741,2T5z 4 13,1T2z 3 3,NA
1256,3T5z 6 6,1T2z 3 4,NA
1149,3T4z 7 8,1T1z 1 1,NA
1871,2T5z 7 13,1T1z 2 1,NA
79,3T5z 10 7,1T1z 8 2,NA
4299,2T5z 4 14,0T1z 0 4,NA
3131,3T4z 12 7,0T1z 0 7,NA
320,2T5z 4 13,0T1z 0 7,NA
2257,2T5z 6 16,NA,NA
1138,2T5z 9 10,NA,NA
3422,2T4z 3 6,NA,NA
1214,2T5z 9 12,NA,NA
2378,2T4z 6 11,NA,NA
2265,2T4z 3 9,NA,NA
857,2T3z 5 4,NA,NA
1472,2T4z 5 7,NA,NA
3983,2T4z 5 10,NA,NA
318,1T5z 1 7,NA,NA
1929,2T4z 10 13,NA,NA
4284,1T5z 3 6,NA,NA
4300,1T5z 3 14,NA,NA
3586,2T4z 11 17,NA,NA
4283,2T2z 8 8,NA,NA
523,1T5z 3 15,NA,NA
547,1T5z 3 11,NA,NA
3998,1T4z 3 7,NA,NA
85,1T4z 4 10,NA,NA
546,1T5z 3 19,NA,NA
2202,1T3z 3 4,NA,NA
3127,1T5z 5 20,NA,NA
3199,0T5z 0 9,NA,NA
67,1T4z 2 6,NA,NA
4168,1T4z 4 14,NA,NA
1245,0T5z 0 16,NA,NA
1145,1T4z 6 11,NA,NA
3591,0T4z 0 5,NA,NA
2179,0T4z 0 7,NA,NA
912,1T3z 3 5,NA,NA
4019,0T4z 0 7,NA,NA
4252,1T3z 3 6,NA,NA
3779,0T4z 0 8,NA,NA
1489,0T4z 0 8,NA,NA
4306,1T3z 4 5,NA,NA
3582,1T3z 4 10,NA,NA
4150,0T4z 0 9,NA,NA
2670,1T3z 7 10,NA,NA
4303,0T4z 0 11,NA,NA
12459,1T2z 3 5,NA,NA
953,0T4z 0 11,NA,NA
2201,1T2z 5 5,NA,NA
356,1T2z 6 11,NA,NA
3991,0T4z 0 14,NA,NA
793,0T4z 0 14,NA,NA
89,0T4z 0 15,NA,NA
165,0T4z 0 16,NA,NA
12230,0T4z 0 21,NA,NA
3989,0T3z 0 4,NA,NA
1758,0T3z 0 4,NA,NA
4364,0T3z 0 4,NA,NA
2174,0T4z 0 18,NA,NA
811,0T3z 0 4,NA,NA
765,0T3z 0 6,NA,NA
3511,0T3z 0 13,NA,NA
3428,0T3z 0 6,NA,NA
3361,0T3z 0 8,NA,NA
865,0T2z 0 3,NA,NA
2677,0T2z 0 4,NA,NA
814,0T2z 0 2,NA,NA
1277,0T2z 0 4,NA,NA
373,0T2z 0 4,NA,NA
11018,0T2z 0 3,NA,NA
2763,0T2z 0 4,NA,NA
12456,0T2z 0 4,NA,NA
2837,0T2z 0 5,NA,NA
2191,0T2z 0 6,NA,NA
4378,0T2z 0 6,NA,NA
923,0T2z 0 6,NA,NA
1437,0T2z 0 7,NA,NA
1513,0T2z 0 11,NA,NA
4125,0T2z 0 8,NA,NA
1279,0T1z 0 1,NA,NA
2430,0T1z 0 3,NA,NA
4161,0T1z 0 1,NA,NA
838,0T1z 0 5,NA,NA
801,0T1z 0 12,NA,NA
12437,0T0z 0 0,NA,NA
11534,0T0z 0 0,NA,NA
1496,0T0z 0 0,NA,NA
2586,0T0z 0 0,NA,NA
