user_id,score0,score1,score2
2276,5T5z 8 7,3T4z 13 5,3T4z 7 8
2332,5T5z 5 5,3T3z 9 8,3T4z 7 13
1214,5T5z 8 7,2T3z 3 3,1T4z 2 9
2334,4T5z 6 8,2T3z 10 5,1T4z 2 9
2272,5T5z 8 6,3T4z 11 10,1T4z 3 18
3422,5T5z 8 5,2T3z 3 4,1T3z 9 11
2257,5T5z 10 6,1T4z 8 13,NA
2947,5T5z 10 6,1T3z 3 7,NA
2309,5T5z 10 6,1T3z 4 6,NA
79,5T5z 7 7,1T3z 8 6,NA
2052,5T5z 7 5,1T2z 2 2,NA
1778,5T5z 13 6,1T2z 3 4,NA
89,4T5z 5 5,1T2z 6 6,NA
1364,5T5z 7 6,0T3z 0 3,NA
1131,4T5z 4 6,0T3z 0 4,NA
1124,4T5z 6 10,0T3z 0 5,NA
2307,5T5z 5 5,0T2z 0 2,NA
486,5T5z 8 7,0T2z 0 2,NA
67,4T5z 4 5,0T2z 0 3,NA
1138,5T5z 9 8,0T1z 0 1,NA
3131,4T5z 7 5,NA,NA
1234,4T5z 6 10,NA,NA
2337,4T5z 8 6,NA,NA
3983,4T5z 7 12,NA,NA
1241,4T5z 8 9,NA,NA
646,4T5z 8 7,NA,NA
857,4T5z 8 7,NA,NA
318,4T5z 10 8,NA,NA
165,4T5z 10 8,NA,NA
648,4T5z 11 8,NA,NA
320,4T5z 13 14,NA,NA
2574,4T5z 11 11,NA,NA
85,4T4z 9 5,NA,NA
1773,4T5z 14 9,NA,NA
490,4T4z 10 4,NA,NA
4299,4T4z 9 7,NA,NA
1559,3T5z 5 8,NA,NA
2667,3T5z 5 8,NA,NA
1489,4T4z 10 9,NA,NA
2348,3T5z 4 8,NA,NA
505,3T5z 6 8,NA,NA
1741,3T5z 7 12,NA,NA
1558,3T5z 7 13,NA,NA
3991,3T4z 4 5,NA,NA
645,3T4z 6 4,NA,NA
2291,3T5z 8 11,NA,NA
854,3T4z 7 6,NA,NA
1472,3T5z 13 12,NA,NA
855,3T4z 7 9,NA,NA
314,3T4z 11 10,NA,NA
2041,2T5z 7 19,NA,NA
765,2T5z 2 19,NA,NA
1926,2T5z 8 14,NA,NA
3998,2T4z 2 4,NA,NA
649,2T4z 4 8,NA,NA
1593,2T4z 2 7,NA,NA
3126,2T4z 3 5,NA,NA
3989,2T4z 7 6,NA,NA
634,1T5z 2 11,NA,NA
2057,2T4z 3 6,NA,NA
3211,1T5z 6 26,NA,NA
1614,2T4z 4 18,NA,NA
4306,1T4z 1 11,NA,NA
3268,2T3z 2 4,NA,NA
2226,2T3z 3 8,NA,NA
2670,1T4z 2 6,NA,NA
2493,1T5z 2 15,NA,NA
2519,1T4z 3 10,NA,NA
2217,1T3z 2 5,NA,NA
2214,1T4z 1 12,NA,NA
2219,1T3z 2 6,NA,NA
523,1T4z 2 13,NA,NA
7613,1T4z 2 15,NA,NA
864,1T3z 2 7,NA,NA
865,1T4z 3 19,NA,NA
11454,0T3z 0 9,NA,NA
3727,0T2z 0 2,NA,NA
1586,1T4z 4 8,NA,NA
2218,1T3z 1 12,NA,NA
3213,0T2z 0 12,NA,NA
1754,0T1z 0 1,NA,NA
3280,1T2z 2 3,NA,NA
3278,0T1z 0 2,NA,NA
4437,1T2z 2 6,NA,NA
2687,1T2z 6 4,NA,NA
3737,0T1z 0 3,NA,NA
2530,0T1z 0 5,NA,NA
2514,0T4z 0 21,NA,NA
3440,0T2z 0 3,NA,NA
3728,0T1z 0 6,NA,NA
2929,0T1z 0 6,NA,NA
1492,0T1z 0 7,NA,NA
11414,0T1z 0 7,NA,NA
2845,0T0z 0 0,NA,NA
1372,0T0z 0 0,NA,NA
3270,0T1z 0 10,NA,NA
2658,0T0z 0 0,NA,NA
