user_id,score0
3211,16
1741,20
1929,36
1926,42
1934,110
1801,171.0
3213,336
3136,525
3141,1400
3172,1436.5
3901,1440
6393,1547.0
4397,1584
4196,1584
1653,2457
4197,2655.25
3903,2772
3174,2880
1558,4320
3138,6080
3147,7220
6403,8041.0
