user_id,score0,score1,score2
1364,Top  1.  |  Top  1. [2.24],44+,47+
2574,40+  2.  |  Top  1. [3.16],35,44
1214,32+  4.  |  Top  1. [5.00],36+,43+
648,21.5+  22.  |  40   17. [20.82],38+,39+
811,20+  39.  |  Top  1. [17.03],42+,33+
1361,30+  7.  |  41+  12. [9.54],35+,31+
1559,21.5+  22.  |  36+  25. [25.75],36,25+
2332,32+  4.  |  Top  1. [5.00],38+,22
544,24   16.  |  38   20. [18.55],35,NA
3131,27+  12.  |  38+  18. [15.80],34+,NA
2272,20+  39.  |  Top  1. [17.03],32+,NA
1778,28+  8.  |  27+  48. [21.53],31+,NA
4299,20+  39.  |  Top  1. [17.03],29+,NA
3422,21+  31.  |  38   20. [26.02],29+,NA
854,20+  39.  |  41+  12. [27.46],29+,NA
2301,20+  39.  |  42   10. [24.68],29,NA
2257,21.5+  22.  |  37+  24. [24.74],29,NA
1135,28+  8.  |  29+  32. [17.75],26+,NA
437,34+  3.  |  Top  1. [3.87],25+,NA
1129,28+  8.  |  38   20. [13.91],25+,NA
2370,22+  18.  |  29+  32. [25.45],25+,NA
793,27+  12.  |  24   58. [28.10],25+,NA
765,20+  39.  |  Top  1. [17.03],25,NA
1741,21.5   30.  |  42   10. [17.75],25,NA
2052,28   11.  |  36   28. [17.55],23+,NA
855,32+  4.  |  41+  12. [8.06],13+,NA
3998,21.5+  22.  |  29+  32. [29.87],NA,NA
2276,20+  39.  |  41   15. [29.98],NA,NA
3125,22   20.  |  28   43. [30.37],NA,NA
1124,27+  12.  |  18+  67. [31.18],NA,NA
523,27+  12.  |  18+  67. [31.18],NA,NA
2667,21.5+  22.  |  28+  40. [32.33],NA,NA
2101,20+  39.  |  38+  18. [32.76],NA,NA
532,21   33.  |  34+  31. [33.17],NA,NA
1926,22+  18.  |  21   61. [33.59],NA,NA
3582,22   20.  |  24   58. [34.63],NA,NA
1593,20   78.  |  41   15. [34.88],NA,NA
2041,20+  39.  |  38   20. [35.31],NA,NA
2485,21.5+  22.  |  27+  48. [36.24],NA,NA
649,21   33.  |  29   39. [37.21],NA,NA
2763,23+  17.  |  17   83. [37.79],NA,NA
634,20+  39.  |  36+  25. [38.83],NA,NA
864,20+  39.  |  36+  25. [38.83],NA,NA
1138,21+  31.  |  27+  48. [40.28],NA,NA
3427,21.5+  22.  |  19   64. [40.71],NA,NA
492,20+  39.  |  35+  29. [41.01],NA,NA
2307,20+  39.  |  35   30. [41.71],NA,NA
3586,21.5+  22.  |  18+  67. [42.85],NA,NA
490,21   33.  |  26+  57. [44.98],NA,NA
1389,20+  39.  |  29+  32. [45.06],NA,NA
1264,20+  39.  |  29+  32. [45.06],NA,NA
3903,21   33.  |  19   64. [48.04],NA,NA
109,21   33.  |  19   64. [48.04],NA,NA
2033,20+  39.  |  28+  40. [48.76],NA,NA
320,20+  39.  |  28   43. [51.09],NA,NA
165,20+  39.  |  28   43. [51.09],NA,NA
696,20+  39.  |  28   43. [51.09],NA,NA
1170,20+  39.  |  28   43. [51.09],NA,NA
2493,20+  39.  |  27+  48. [54.65],NA,NA
318,20+  39.  |  27+  48. [54.65],NA,NA
1773,20+  39.  |  27+  48. [54.65],NA,NA
3889,20+  39.  |  27+  48. [54.65],NA,NA
1251,18   85.  |  29+  32. [55.18],NA,NA
463,20+  39.  |  21+  60. [58.99],NA,NA
1646,21   33.  |  14   99. [59.58],NA,NA
1221,12+  103.  |  29+  32. [60.19],NA,NA
4283,20+  39.  |  18+  67. [64.62],NA,NA
1749,20+  39.  |  18+  67. [64.62],NA,NA
519,20+  39.  |  18+  67. [64.62],NA,NA
1134,20+  39.  |  18+  67. [64.62],NA,NA
3213,20+  39.  |  18+  67. [64.62],NA,NA
3361,12   105.  |  28+  40. [65.77],NA,NA
4303,20+  39.  |  18   78. [68.12],NA,NA
1396,20+  39.  |  18   78. [68.12],NA,NA
339,20+  39.  |  17   83. [69.80],NA,NA
1058,20+  39.  |  16+  86. [70.63],NA,NA
518,17   90.  |  27   56. [71.19],NA,NA
857,20+  39.  |  16   87. [71.64],NA,NA
3901,20+  39.  |  15+  91. [72.85],NA,NA
776,20+  39.  |  15   93. [74.23],NA,NA
4284,20+  39.  |  15   93. [74.23],NA,NA
1688,17   90.  |  20   62. [74.91],NA,NA
3916,20+  39.  |  14+  98. [75.39],NA,NA
2947,27+  48. [75.44],NA,NA
4003,19+  80.  |  18+  67. [75.89],NA,NA
3136,18   85.  |  18+  67. [79.15],NA,NA
3268,20   78.  |  18   78. [79.25],NA,NA
69,12+  103.  |  19+  63. [80.75],NA,NA
2658,18   85.  |  18   78. [83.43],NA,NA
2687,18+  82.  |  16   87. [85.71],NA,NA
865,18+  82.  |  15   93. [88.80],NA,NA
3141,18+  67. [89.20],NA,NA
1502,13+  99.  |  18   78. [89.22],NA,NA
3199,18   85.  |  15+  91. [89.22],NA,NA
7613,19   81.  |  14   99. [90.00],NA,NA
2508,14+  96.  |  17   83. [90.03],NA,NA
3596,18   85.  |  15   93. [90.91],NA,NA
65,14+  96.  |  16   87. [92.41],NA,NA
1647,18+  82.  |  11+  106. [94.02],NA,NA
1384,13   101.  |  16   87. [94.78],NA,NA
11615,16   92.  |  14   99. [96.44],NA,NA
10949,16   92.  |  12+  102. [97.63],NA,NA
3211,13   101.  |  15   93. [98.20],NA,NA
1492,16   92.  |  12   104. [98.58],NA,NA
3915,15+  95.  |  10+  110. [102.23],NA,NA
2661,13+  99.  |  11+  106. [102.94],NA,NA
3270,14   98.  |  11   108. [103.12],NA,NA
11619,11+  107.  |  12+  102. [104.73],NA,NA
3278,12   105.  |  12   104. [105.00],NA,NA
2069,11   108.  |  11   108. [108.25],NA,NA
11618,9   109.  |  8+  111. [110.00],NA,NA
