user_id,score0,score1,score2
1741,4T5z 13 13,4T4z 13 12,2T4z 9 11
2272,5T5z 7 7,3T4z 7 7,1T4z 9 12
2276,5T5z 8 6,4T4z 7 4,1T3z 1 3
2309,4T4z 8 6,3T4z 4 4,0T2z 0 4
1926,4T5z 12 12,3T4z 3 9,0T1z 0 1
688,4T4z 11 9,3T4z 9 13,0T1z 0 2
490,3T5z 4 14,3T4z 9 15,NA
652,4T5z 6 13,2T4z 2 12,NA
11675,4T5z 8 8,2T4z 3 9,NA
1778,4T5z 9 9,2T4z 3 9,NA
79,3T5z 3 13,2T4z 3 10,NA
318,4T5z 5 6,2T4z 3 11,NA
11871,5T5z 13 7,2T4z 4 6,NA
2574,4T5z 8 9,2T4z 4 9,NA
1256,5T5z 12 9,2T4z 7 11,NA
1138,5T5z 9 7,2T3z 2 4,NA
320,4T5z 8 8,2T3z 5 6,NA
2257,4T5z 14 13,1T4z 1 10,NA
1559,4T4z 11 8,1T4z 3 16,NA
3131,4T4z 7 6,1T4z 3 17,NA
912,3T5z 7 8,NA,NA
3422,3T5z 7 9,NA,NA
4252,3T5z 7 15,NA,NA
1131,3T5z 8 11,NA,NA
11525,3T5z 10 14,NA,NA
3989,3T5z 13 13,NA,NA
523,3T4z 4 5,NA,NA
1871,3T4z 4 10,NA,NA
3983,3T4z 6 9,NA,NA
1934,3T4z 6 9,NA,NA
646,3T4z 9 10,NA,NA
2291,3T4z 10 7,NA,NA
645,3T3z 4 4,NA,NA
2332,2T5z 5 13,NA,NA
857,2T5z 5 15,NA,NA
3127,2T5z 11 15,NA,NA
1758,2T4z 3 12,NA,NA
1929,2T4z 5 7,NA,NA
667,2T4z 5 12,NA,NA
11847,2T4z 5 20,NA,NA
3998,2T4z 6 9,NA,NA
1875,2T4z 7 15,NA,NA
11518,1T3z 4 10,NA,NA
1820,1T3z 6 11,NA,NA
4028,1T2z 4 5,NA,NA
1058,1T2z 8 7,NA,NA
865,1T1z 7 4,NA,NA
3991,0T3z 0 4,NA,NA
1925,0T3z 0 13,NA,NA
3854,0T2z 0 8,NA,NA
3211,0T1z 0 3,NA,NA
3220,0T1z 0 8,NA,NA
3242,0T1z 0 16,NA,NA
12740,0T0z 0 0,NA,NA
