user_id,score0,score1,score2
1364,5T5z 14 12,2T3z 7 8,4T4z 8 7
11675,4T5z 7 10,1T3z 12 18,3T4z 4 5
1214,4T4z 8 7,1T3z 3 6,3T3z 4 4
2272,4T4z 14 13,3T4z 16 18,3T3z 12 7
1138,4T5z 11 13,1T3z 4 7,1T3z 2 8
1131,4T5z 16 13,1T3z 2 5,1T2z 2 2
318,4T4z 16 16,1T2z 3 5,NA
1741,4T4z 12 11,1T2z 5 7,NA
2574,4T5z 7 11,1T2z 9 9,NA
523,4T5z 8 9,0T4z 0 8,NA
1256,4T5z 10 14,0T3z 0 8,NA
857,4T4z 8 7,0T3z 0 14,NA
1929,4T5z 11 10,0T3z 0 15,NA
11871,4T5z 11 12,0T3z 0 15,NA
79,4T4z 6 5,0T3z 0 15,NA
2309,5T5z 12 10,0T3z 0 16,NA
2257,4T5z 7 10,0T2z 0 5,NA
765,3T5z 6 15,0T2z 0 8,NA
3422,4T4z 13 10,0T2z 0 10,NA
4252,4T4z 12 10,0T1z 0 3,NA
1778,3T5z 8 8,NA,NA
2291,3T5z 12 13,NA,NA
667,3T4z 4 5,NA,NA
3131,3T4z 7 7,NA,NA
1472,3T4z 7 8,NA,NA
645,3T4z 7 8,NA,NA
4299,3T4z 8 9,NA,NA
646,3T4z 8 10,NA,NA
1124,3T4z 9 6,NA,NA
3998,3T4z 9 8,NA,NA
1871,3T4z 16 13,NA,NA
1925,3T4z 16 16,NA,NA
1559,3T3z 9 6,NA,NA
652,3T3z 15 12,NA,NA
490,2T5z 8 17,NA,NA
4306,2T4z 5 11,NA,NA
11525,2T4z 12 14,NA,NA
11886,2T4z 16 20,NA,NA
320,2T3z 6 13,NA,NA
4283,2T3z 19 21,NA,NA
3989,2T2z 6 5,NA,NA
688,1T4z 4 9,NA,NA
1820,1T3z 1 7,NA,NA
11847,1T3z 3 7,NA,NA
3991,1T3z 4 7,NA,NA
1934,1T3z 5 7,NA,NA
3983,1T3z 5 9,NA,NA
912,1T2z 5 6,NA,NA
1875,0T4z 0 10,NA,NA
1758,0T3z 0 9,NA,NA
1058,0T2z 0 7,NA,NA
865,0T2z 0 10,NA,NA
3854,0T1z 0 1,NA,NA
11518,0T1z 0 5,NA,NA
4028,0T1z 0 8,NA,NA
