user_id,score0,score1,score2
1364,1. [3.46],46+,Top
1214,1. [3.00],43+,42+
444,7. [7.07],44,41
1129,5. [5.83],45+,38+
437,1. [3.00],43+,38+
1559,1. [3.46],43,37+
855,6. [5.61],42+,37
2273,1. [3.00],42+,28
773,1. [3.00],43,9+
3125,1. [3.46],42,NA
93,1. [3.46],41+,NA
1127,5. [5.83],39,NA
864,7. [7.94],35+,NA
314,12. [14.67],35+,NA
2667,9. [10.25],31+,NA
1489,12. [14.67],30,NA
4299,9. [9.64],26+,NA
3111,12. [14.67],26+,NA
1234,10. [12.76],25+,NA
979,11. [11.62],25+,NA
2040,8. [8.57],25,NA
3248,12. [12.02],24+,NA
1389,11. [13.75],22+,NA
2261,5. [4.90],21+,NA
2271,13. [12.50],21,NA
1221,8. [8.75],13+,NA
463,10. [9.95],13+,NA
776,14. [13.46],NA,NA
854,15. [15.00],NA,NA
103,15. [15.00],NA,NA
2307,15. [15.49],NA,NA
1741,16. [15.75],NA,NA
2014,17. [15.23],NA,NA
3889,17. [16.20],NA,NA
3897,18. [16.02],NA,NA
3989,18. [16.25],NA,NA
1135,19. [17.32],NA,NA
2041,19. [17.45],NA,NA
2042,20. [18.97],NA,NA
3112,20. [18.81],NA,NA
880,21. [19.44],NA,NA
1576,21. [18.94],NA,NA
320,22. [21.17],NA,NA
2057,22. [19.74],NA,NA
634,23. [22.25],NA,NA
2033,23. [20.27],NA,NA
85,23. [20.27],NA,NA
1476,24. [22.58],NA,NA
648,25. [24.24],NA,NA
172,25. [23.87],NA,NA
490,26. [24.59],NA,NA
317,26. [24.99],NA,NA
3985,27. [26.72],NA,NA
3582,27. [25.42],NA,NA
3982,27. [26.72],NA,NA
1709,28. [26.22],NA,NA
308,29. [27.84],NA,NA
649,29. [28.97],NA,NA
61,30. [28.37],NA,NA
2947,30. [28.98],NA,NA
1736,31. [32.23],NA,NA
2068,31. [29.07],NA,NA
1758,32. [32.94],NA,NA
775,32. [29.93],NA,NA
2218,33. [33.23],NA,NA
2493,33. [32.23],NA,NA
3358,34. [33.25],NA,NA
1744,34. [33.25],NA,NA
2761,35. [34.55],NA,NA
3061,35. [34.00],NA,NA
788,36. [36.28],NA,NA
1378,36. [35.68],NA,NA
312,37. [36.25],NA,NA
1586,37. [36.75],NA,NA
2428,38. [38.50],NA,NA
4150,38. [37.73],NA,NA
1367,39. [38.95],NA,NA
2214,39. [39.71],NA,NA
3903,40. [39.97],NA,NA
3901,40. [40.25],NA,NA
1502,41. [40.89],NA,NA
1581,41. [40.74],NA,NA
798,42. [40.80],NA,NA
1592,42. [41.00],NA,NA
1754,43. [41.74],NA,NA
2507,43. [44.46],NA,NA
3062,44. [42.24],NA,NA
2422,44. [45.48],NA,NA
1626,44. [42.24],NA,NA
2217,45. [45.87],NA,NA
3586,46. [46.20],NA,NA
2726,46. [43.50],NA,NA
4062,47. [45.74],NA,NA
4397,47. [46.90],NA,NA
3187,48. [48.25],NA,NA
4230,48. [47.20],NA,NA
1059,49. [48.70],NA,NA
2423,49. [47.49],NA,NA
4175,50. [50.22],NA,NA
1054,50. [48.44],NA,NA
4064,51. [49.96],NA,NA
3188,51. [50.23],NA,NA
4079,52. [51.50],NA,NA
3186,52. [50.25],NA,NA
