user_id,score0,score1
2929,5.490,7.20
120,5.872,FALL
98,5.832,5.63
198,5.968,5.76
7613,5.950,5.80
3471,5.658,6.36
105,5.648,6.45
3270,5.668,FALSE START
2069,5.988,5.85
11460,5.953,5.90
2950,5.967,5.91
109,5.762,5.95
3361,5.887,6.01
494,6.057,6.06
3268,6.041,6.79
154,5.999,8.82
3007,6.060,NA
3362,6.084,NA
11938,6.101,NA
2951,6.105,NA
74,6.139,NA
1492,6.165,NA
146,6.175,NA
1372,6.215,NA
2845,6.231,NA
11175,6.252,NA
11409,6.264,NA
3278,6.273,NA
3211,6.296,NA
2943,6.449,NA
2272,6.582,NA
3131,6.767,NA
2052,6.807,NA
2307,6.826,NA
3487,6.829,NA
2334,6.873,NA
474,6.952,NA
2947,7.054,NA
2276,7.147,NA
857,7.176,NA
854,7.390,NA
1559,7.444,NA
2041,7.545,NA
855,7.590,NA
318,7.753,NA
1741,8.086,NA
79,8.094,NA
314,8.137,NA
793,8.411,NA
1364,8.435,NA
1773,8.547,NA
320,8.616,NA
1124,8.755,NA
2667,9.009,NA
1138,9.100,NA
1489,9.153,NA
3582,9.514,NA
811,9.679,NA
2493,9.740,NA
1361,9.982,NA
437,10.290,NA
2958,fall,NA
1754,fall,NA
1778,fall,NA
2332,fall,NA
