user_id,score0,score1,score2
2052,3t5 4b8,2t2 4b5,4t9 4b8
2307,5t18 5b10,2t2 2b2,3t6 3b5
2309,5t13 5b11,4t10 4b7,3t11 4b7
79,3t4 4b9,3t9 3b6,2t5 3b8
2272,5t11 5b8,3t5 4b7,2t6 4b10
2265,4t6 5b7,2t3 2b3,1t3 1b3
2255,5t9 5b5,2t4 4b6,NA
1124,3t5 4b4,2t4 4b9,NA
2276,4t5 5b6,2t6 3b5,NA
2257,5t8 5b7,2t9 4b12,NA
1741,4t7 4b7,1t2 4b14,NA
3577,3t4 4b6,1t2 3b4,NA
1571,3t6 5b8,1t2 2b2,NA
3428,3t5 3b3,1t2 2b4,NA
2348,4t10 5b15,1t3 3b7,NA
3422,4t12 5b10,1t4 3b4,NA
631,3t5 4b5,1t4 2b3,NA
3983,3t7 5b9,1t7 3b9,NA
2332,4t12 4b6,0t 3b7,NA
849,3t6 5b8,0t 2b2,NA
3061,2t2 5b7,NA,NA
2331,3t6 4b9,NA,NA
1255,2t3 4b5,NA,NA
1745,3t7 4b8,NA,NA
1794,3t7 3b4,NA,NA
3123,2t5 5b8,NA,NA
1558,3t8 5b11,NA,NA
1234,2t5 5b11,NA,NA
1778,2t5 4b5,NA,NA
1129,3t8 3b4,NA,NA
1772,2t2 2b2,NA,NA
4300,2t8 5b13,NA,NA
1742,2t13 4b14,NA,NA
1604,2t3 3b3,NA,NA
1770,2t4 3b4,NA,NA
2667,2t4 3b4,NA,NA
1897,1t1 2b5,NA,NA
1758,1t2 5b10,NA,NA
313,1t2 2b3,NA,NA
1559,2t4 3b5,NA,NA
2931,2t4 3b5,NA,NA
1820,1t2 2b5,NA,NA
1711,2t5 3b4,NA,NA
1560,1t3 5b10,NA,NA
1214,2t5 3b4,NA,NA
2214,1t3 4b13,NA,NA
3855,2t6 4b9,NA,NA
2217,1t3 3b5,NA,NA
1744,1t3 3b8,NA,NA
1893,2t8 3b7,NA,NA
2947,1t6 3b13,NA,NA
882,1t1 3b3,NA,NA
1896,1t2 2b3,NA,NA
1721,1t6 2b7,NA,NA
3126,1t2 2b6,NA,NA
1732,0t 4b15,NA,NA
1607,0t 1b1,NA,NA
1823,1t3 3b7,NA,NA
1777,0t 1b1,NA,NA
