user_id,score0,score1,score2
2257,4T5z 5 7,2T3z 4 6,3T4z 4 5
1741,3T5z 5 7,2T3z 2 4,2T4z 2 6
2276,4T5z 4 5,2T4z 4 5,2T4z 3 5
1124,4T5z 5 6,3T4z 5 6,0T4z 0 7
2266,5T5z 9 8,2T3z 9 4,0T4z 0 8
2291,3T5z 7 7,2T3z 6 5,0T3z 0 15
2052,4T4z 8 7,2T3z 10 4,NA
2348,4T5z 9 7,2T2z 6 2,NA
79,4T5z 11 6,1T3z 1 3,NA
3422,3T5z 11 15,1T3z 1 4,NA
523,3T5z 10 9,1T3z 2 3,NA
2301,4T5z 9 8,1T3z 2 4,NA
2309,5T5z 17 8,1T3z 3 6,NA
1131,2T5z 4 7,1T2z 2 5,NA
2332,4T5z 7 7,1T2z 4 2,NA
1778,5T5z 9 5,0T4z 0 7,NA
3983,3T4z 9 6,0T3z 0 3,NA
2272,5T5z 8 8,0T3z 0 4,NA
685,2T5z 9 10,0T3z 0 7,NA
1229,2T5z 3 7,0T2z 0 2,NA
2334,1T5z 2 12,NA,NA
1772,2T4z 7 5,NA,NA
1472,1T4z 1 5,NA,NA
1928,2T4z 12 13,NA,NA
1571,1T4z 1 9,NA,NA
486,1T5z 1 6,NA,NA
2947,1T4z 2 22,NA,NA
2265,1T5z 1 8,NA,NA
849,1T5z 1 11,NA,NA
1361,1T4z 3 11,NA,NA
490,1T4z 5 7,NA,NA
3577,1T5z 1 12,NA,NA
857,1T5z 1 13,NA,NA
1746,1T4z 6 9,NA,NA
3779,1T5z 1 18,NA,NA
3061,1T3z 2 7,NA,NA
2017,1T5z 3 16,NA,NA
854,1T3z 3 6,NA,NA
1800,1T5z 3 16,NA,NA
2219,1T3z 3 20,NA,NA
2217,1T2z 3 2,NA,NA
4300,1T4z 1 8,NA,NA
4306,1T4z 1 9,NA,NA
2670,0T5z 0 18,NA,NA
1255,0T4z 0 7,NA,NA
1138,1T4z 1 11,NA,NA
1949,0T4z 0 8,NA,NA
1926,1T4z 2 5,NA,NA
1773,1T4z 2 11,NA,NA
1959,0T4z 0 12,NA,NA
631,0T4z 0 13,NA,NA
3777,0T4z 0 13,NA,NA
1593,1T4z 2 13,NA,NA
3123,1T4z 3 6,NA,NA
2840,0T3z 0 7,NA,NA
2938,0T3z 0 7,NA,NA
882,1T4z 3 9,NA,NA
1723,1T4z 3 9,NA,NA
1875,0T3z 0 8,NA,NA
1742,1T4z 3 10,NA,NA
3211,0T3z 0 8,NA,NA
3147,0T3z 0 8,NA,NA
1709,1T4z 5 12,NA,NA
3136,1T3z 2 11,NA,NA
1754,0T3z 0 9,NA,NA
3127,1T3z 3 7,NA,NA
1758,0T3z 0 10,NA,NA
1560,1T3z 4 4,NA,NA
3126,1T3z 5 5,NA,NA
1357,0T3z 0 12,NA,NA
3854,1T3z 6 12,NA,NA
1820,0T3z 0 13,NA,NA
2218,0T2z 0 3,NA,NA
3185,0T5z 0 8,NA,NA
3428,0T2z 0 4,NA,NA
1558,0T2z 0 4,NA,NA
3138,0T2z 0 4,NA,NA
1745,0T5z 0 9,NA,NA
1871,0T5z 0 11,NA,NA
1614,0T5z 0 16,NA,NA
1958,0T2z 0 5,NA,NA
3222,0T2z 0 5,NA,NA
2214,0T4z 0 16,NA,NA
3991,0T3z 0 6,NA,NA
3855,0T1z 0 1,NA,NA
3727,0T1z 0 1,NA,NA
3220,0T3z 0 12,NA,NA
1643,0T1z 0 1,NA,NA
3458,0T2z 0 3,NA,NA
4041,0T2z 0 11,NA,NA
4155,0T0z 0 0,NA,NA
