user_id,score0,score1,score2
1129,Top  1.  |  34   8. [6.00],45.5+,51
855,43+  9.  |  43+  3. [5.20],45.5+,48+
1214,Top  1.  |  Top  1. [2.60],45+,48
444,Top  1.  |  42   4. [4.24],39+,48
437,Top  1.  |  Top  1. [2.60],39,47
3125,42   11.  |  34+  5. [8.31],45+,46+
1559,Top  1.  |  34+  5. [5.20],40,46+
864,39   19.  |  31+  10. [14.78],39+,43+
2273,Top  1.  |  34+  5. [5.20],37+,NA
2271,41+  13.  |  25+  19. [18.21],37+,NA
2041,43   10.  |  20+  40. [21.10],37,NA
1741,36   32.  |  31+  10. [19.33],33+,NA
2261,Top  1.  |  31+  10. [7.19],30+,NA
463,38+  20.  |  33+  9. [14.70],30+,NA
2040,31+  41.  |  29   14. [24.68],30+,NA
4299,38+  20.  |  25+  19. [24.74],30+,NA
2301,41   14.  |  25+  19. [18.89],29+,NA
2272,40+  15.  |  31+  10. [13.56],27+,NA
314,38+  20.  |  25+  19. [24.74],27+,NA
1127,Top  1.  |  26+  18. [9.00],26+,NA
2332,35+  34.  |  28+  15. [23.49],26+,NA
1135,31+  41.  |  28+  15. [26.38],26+,NA
773,36   32.  |  28+  15. [22.80],25+,NA
3897,38+  20.  |  25+  19. [24.74],24.5,NA
1228,40+  15.  |  20+  40. [26.68],24+,NA
2307,38+  20.  |  25+  19. [24.74],20+,NA
854,42   11.  |  18   63. [27.13],NA,NA
1216,38   29.  |  25+  19. [27.43],NA,NA
3111,38+  20.  |  25   33. [28.14],NA,NA
776,40   18.  |  20+  40. [28.30],NA,NA
2289,40+  15.  |  19+  52. [29.39],NA,NA
1221,38+  20.  |  24   36. [29.39],NA,NA
461,35   36.  |  25+  19. [30.72],NA,NA
318,35   36.  |  25+  19. [30.72],NA,NA
61,38+  20.  |  20+  40. [32.68],NA,NA
2851,31+  41.  |  25+  19. [33.31],NA,NA
465,30+  48.  |  25+  19. [35.89],NA,NA
516,30+  48.  |  25+  19. [35.89],NA,NA
2014,38+  20.  |  19+  52. [36.00],NA,NA
519,35   36.  |  21   39. [37.99],NA,NA
1576,31+  41.  |  24+  34. [38.74],NA,NA
1264,31+  41.  |  24+  34. [38.74],NA,NA
880,34+  39.  |  21+  38. [38.74],NA,NA
308,29   58.  |  25+  19. [38.79],NA,NA
459,27+  62.  |  25+  19. [39.76],NA,NA
951,38   29.  |  18+  60. [42.42],NA,NA
499,31+  41.  |  20+  40. [44.00],NA,NA
1743,30   54.  |  23+  37. [44.91],NA,NA
3889,36+  31.  |  13+  74. [48.06],NA,NA
3112,30   54.  |  20+  40. [49.25],NA,NA
451,34+  39.  |  18   63. [50.28],NA,NA
538,30+  48.  |  20   50. [50.50],NA,NA
4308,29   58.  |  20+  40. [51.24],NA,NA
2493,29   58.  |  20+  40. [51.24],NA,NA
320,35+  34.  |  13   76. [51.37],NA,NA
3780,30+  48.  |  19+  52. [52.22],NA,NA
3427,30+  48.  |  19   57. [54.12],NA,NA
448,31   47.  |  18   63. [54.85],NA,NA
979,19+  67.  |  20+  40. [55.01],NA,NA
490,29+  56.  |  19+  52. [55.24],NA,NA
484,19   70.  |  20+  40. [55.81],NA,NA
3131,29+  56.  |  19   57. [57.25],NA,NA
3248,30+  48.  |  17+  66. [58.17],NA,NA
2670,25   64.  |  19+  52. [58.79],NA,NA
312,28+  61.  |  19   57. [59.48],NA,NA
2042,16   78.  |  20   50. [62.96],NA,NA
1378,19+  67.  |  18+  60. [64.40],NA,NA
1235,25+  63.  |  17   69. [65.93],NA,NA
505,18+  71.  |  18+  60. [66.73],NA,NA
3066,19+  67.  |  17+  66. [67.50],NA,NA
798,22+  65.  |  15+  71. [68.41],NA,NA
3062,21   66.  |  15+  71. [68.93],NA,NA
788,18+  71.  |  16   70. [71.48],NA,NA
1586,16+  77.  |  17+  66. [71.83],NA,NA
1367,18+  71.  |  15+  71. [72.50],NA,NA
1581,18+  71.  |  13+  74. [73.75],NA,NA
1759,18+  71.  |  13   76. [74.73],NA,NA
1429,17   76.  |  5+  80. [77.97],NA,NA
1627,16   78.  |  6+  79. [78.75],NA,NA
1054,15+  80.  |  7   78. [78.99],NA,NA
