user_id,score0,score1,score2
437,Top  1.  |  35   18. [7.42],34,41
1129,36+  11.  |  37+  4. [8.80],34,37
1489,36+  11.  |  Top  1. [5.57],39,35+
3422,35+  21.  |  35+  9. [17.85],34+,35+
2301,37   7.  |  37   7. [7.71],34,35
2014,37   7.  |  30+  33. [17.25],34+,34
3577,Top  1.  |  35+  9. [5.70],34,33+
1741,36+  11.  |  37+  4. [8.80],34+,32
2667,30+  47.  |  Top  1. [9.70],34,NA
2273,38+  5.  |  32   29. [12.04],34,NA
855,Top  1.  |  37+  4. [3.54],33+,NA
2272,37   7.  |  35   18. [13.67],33+,NA
1389,35+  21.  |  35+  9. [17.85],33+,NA
463,36+  11.  |  35+  9. [14.20],33,NA
3125,35+  21.  |  35   18. [23.22],33,NA
3989,Top  1.  |  35+  9. [5.70],32,NA
79,35+  21.  |  36+  8. [14.00],30+,NA
854,35+  21.  |  35+  9. [17.85],30+,NA
320,34   32.  |  Top  1. [8.00],25+,NA
172,36+  11.  |  35   18. [18.47],25+,NA
314,36+  11.  |  34+  27. [20.65],25+,NA
864,32+  35.  |  35+  9. [21.48],25+,NA
3889,35+  21.  |  35   18. [23.22],25+,NA
776,31+  42.  |  35+  9. [23.78],25+,NA
519,36+  11.  |  31+  30. [21.74],22,NA
3111,37+  6.  |  30+  33. [14.49],21,NA
2851,36+  11.  |  29   40. [25.21],NA,NA
1221,37   7.  |  14   77. [25.58],NA,NA
2041,34+  29.  |  35   18. [25.69],NA,NA
1124,36+  11.  |  27+  44. [26.41],NA,NA
103,27+  53.  |  35+  9. [26.86],NA,NA
2261,33   33.  |  35   18. [27.15],NA,NA
2286,35+  21.  |  30+  33. [29.28],NA,NA
318,32   37.  |  35   18. [29.29],NA,NA
979,36+  11.  |  23+  57. [29.72],NA,NA
1135,35+  21.  |  27+  44. [33.20],NA,NA
2840,33   33.  |  30+  33. [34.24],NA,NA
2289,31+  42.  |  34+  27. [34.59],NA,NA
773,32   37.  |  31   32. [35.33],NA,NA
2042,34+  29.  |  28+  43. [35.92],NA,NA
85,29   48.  |  31+  30. [38.46],NA,NA
2285,17+  69.  |  35   18. [38.96],NA,NA
1576,32   37.  |  29+  39. [39.00],NA,NA
2057,32+  35.  |  27+  44. [39.97],NA,NA
61,32   37.  |  29   40. [39.99],NA,NA
1264,34+  29.  |  24+  53. [40.25],NA,NA
3136,28+  50.  |  30+  33. [41.83],NA,NA
69,31+  42.  |  29   40. [42.23],NA,NA
538,29   48.  |  30   38. [42.93],NA,NA
532,32   37.  |  24   56. [46.73],NA,NA
3112,27+  53.  |  26   49. [52.15],NA,NA
1216,31+  42.  |  20+  60. [53.17],NA,NA
3248,27+  53.  |  25+  50. [53.20],NA,NA
2218,27   59.  |  27   47. [53.39],NA,NA
461,31   46.  |  20+  60. [54.68],NA,NA
2046,25   63.  |  27   47. [55.35],NA,NA
1134,27+  53.  |  22   58. [56.74],NA,NA
3280,27   59.  |  24+  53. [56.92],NA,NA
1396,27+  53.  |  21+  59. [57.22],NA,NA
1759,25   63.  |  25+  50. [57.35],NA,NA
2790,28   51.  |  20+  60. [57.86],NA,NA
3427,27+  53.  |  20+  60. [60.06],NA,NA
797,14   72.  |  25+  50. [60.60],NA,NA
312,28   51.  |  19+  72. [61.31],NA,NA
788,17   70.  |  24+  53. [61.48],NA,NA
2761,27   59.  |  20+  60. [62.45],NA,NA
1560,26   62.  |  20+  60. [63.48],NA,NA
2217,25   63.  |  20+  60. [64.75],NA,NA
3261,18   68.  |  20+  60. [66.48],NA,NA
340,25   63.  |  19+  72. [68.62],NA,NA
1502,24+  67.  |  20   71. [68.97],NA,NA
1367,13+  73.  |  20+  60. [69.82],NA,NA
4305,13+  73.  |  20+  60. [69.82],NA,NA
1592,13+  73.  |  20+  60. [69.82],NA,NA
1385,15   71.  |  18+  75. [72.97],NA,NA
4003,13+  73.  |  19+  72. [73.99],NA,NA
2223,13+  73.  |  14+  76. [75.50],NA,NA
