user_id,score0,score1,score2
1228,38   5.  |  39.5   9. [7.04],31.5+,Top
1749,38+  4.  |  48+  2. [2.83],31.5,Top
2273,39+  2.  |  Top  1. [1.58],38+,53+
318,36+  9.  |  32   18. [12.90],31.5+,52
103,38   5.  |  42   7. [6.20],34+,51+
1138,28   24.  |  32+  13. [19.17],31.5+,49+
2301,39+  2.  |  47   5. [3.54],34.5,44+
2276,36   10.  |  41+  8. [9.17],34+,44+
951,37+  7.  |  47+  3. [5.12],31.5,NA
1234,31+  17.  |  32+  13. [16.43],31,NA
2271,40+  1.  |  47+  3. [1.87],30+,NA
1741,37+  7.  |  37   10. [8.66],28,NA
797,31+  17.  |  31+  20. [19.21],27+,NA
484,32+  15.  |  27+  32. [23.29],27+,NA
3427,36   10.  |  32+  13. [12.55],26,NA
1134,34+  12.  |  32+  13. [13.42],24.5+,NA
2851,33+  13.  |  21+  43. [24.32],24.5+,NA
1135,32+  15.  |  43   6. [9.64],24.5,NA
2667,27   28.  |  34   11. [17.55],24.5,NA
652,22+  33.  |  32   18. [25.45],24.5,NA
877,30+  20.  |  27+  32. [26.46],24.5,NA
1778,28+  21.  |  33+  12. [16.25],24,NA
1743,33   14.  |  31+  20. [16.94],24,NA
869,28   24.  |  32+  13. [19.17],22,NA
6351,27+  26.  |  30   26. [26.50],20+,NA
3112,31+  17.  |  30+  23. [20.78],17+,NA
4197,23   31.  |  30+  23. [27.50],NA,NA
644,27+  26.  |  28+  29. [28.20],NA,NA
6192,23   31.  |  29+  28. [29.70],NA,NA
11146,22   38.  |  30+  23. [30.40],NA,NA
6450,22+  33.  |  30   26. [30.45],NA,NA
1586,21+  40.  |  31   22. [30.76],NA,NA
1378,28+  21.  |  21+  43. [31.64],NA,NA
6453,25   29.  |  27+  32. [31.86],NA,NA
1250,22+  33.  |  28+  29. [32.40],NA,NA
3185,23+  30.  |  27+  32. [32.40],NA,NA
2854,28+  21.  |  19+  55. [34.94],NA,NA
2064,22+  33.  |  27+  32. [35.00],NA,NA
3037,21+  40.  |  28+  29. [35.92],NA,NA
1744,22   38.  |  27+  32. [36.71],NA,NA
6438,22+  33.  |  21+  43. [39.91],NA,NA
1489,21+  40.  |  25+  39. [40.95],NA,NA
89,21+  40.  |  22+  40. [41.73],NA,NA
3899,21+  40.  |  21+  43. [44.23],NA,NA
2492,21+  40.  |  21   49. [46.83],NA,NA
6392,20+  48.  |  21+  43. [47.22],NA,NA
1396,11+  63.  |  27+  32. [47.88],NA,NA
11192,14+  59.  |  22+  40. [48.88],NA,NA
3903,21   47.  |  20   54. [50.38],NA,NA
11147,21+  40.  |  16+  60. [50.79],NA,NA
3474,20+  48.  |  19+  55. [52.15],NA,NA
8653,11+  63.  |  21.5   42. [52.45],NA,NA
6415,16+  54.  |  21   49. [52.96],NA,NA
3062,20+  48.  |  19   57. [53.31],NA,NA
10732,14.5+  57.  |  21   49. [54.15],NA,NA
11072,14.5+  57.  |  21   49. [54.15],NA,NA
10963,11+  63.  |  21+  43. [54.59],NA,NA
4003,17+  52.  |  19   57. [55.18],NA,NA
109,17+  52.  |  19   57. [55.18],NA,NA
1385,11+  63.  |  21   49. [57.80],NA,NA
11314,18   51.  |  14+  66. [58.67],NA,NA
2425,16+  54.  |  15   63. [59.33],NA,NA
1398,16+  54.  |  15   63. [59.33],NA,NA
11296,13+  60.  |  16   61. [60.75],NA,NA
11062,11+  63.  |  16   61. [63.47],NA,NA
4186,13   61.  |  14+  66. [64.17],NA,NA
11040,12+  62.  |  14+  66. [64.69],NA,NA
11315,11   69.  |  15   63. [66.45],NA,NA
3728,11+  63.  |  14+  66. [66.49],NA,NA
3383,7+  70.  |  13+  70. [70.25],NA,NA
11061,5+  72.  |  13+  70. [71.25],NA,NA
10752,7   71.  |  13   72. [71.50],NA,NA
11316,4+  73.  |  10+  73. [73.50],NA,NA
4074,4+  73.  |  10   74. [74.00],NA,NA
11042,4+  73.  |  7   75. [74.50],NA,NA
