user_id,score0,score1,score2
1129,38+  3.  |  Top  1. [3.97],52+,53+
1214,Top  1.  |  39+  9. [3.67],45+,53+
444,Top  1.  |  Top  1. [2.29],49+,50
437,38+  3.  |  Top  1. [3.97],51,49+
3125,34+  9.  |  Top  1. [6.48],49,49+
855,32   19.  |  38   11. [15.17],45,45+
773,34+  9.  |  33+  21. [18.17],Top,43+
2041,34+  9.  |  34.5+  14. [13.19],45+,33
2273,34+  9.  |  33+  21. [18.17],44.5+,NA
314,22+  34.  |  34   18. [25.60],44.5+,NA
463,38+  3.  |  Top  1. [3.97],44.5,NA
864,32+  17.  |  Top  1. [7.83],44.5,NA
2261,17+  37.  |  40+  7. [17.15],44+,NA
3897,32+  17.  |  33+  21. [21.94],44+,NA
4299,18   36.  |  34   18. [26.15],44+,NA
1221,34+  9.  |  33+  21. [18.17],44,NA
1127,33+  16.  |  40   8. [11.31],43+,NA
61,34+  9.  |  38+  10. [10.95],41+,NA
103,27+  30.  |  34.5+  14. [21.20],40+,NA
854,36+  7.  |  34+  17. [10.91],39+,NA
3889,30+  22.  |  33+  21. [24.87],39+,NA
1216,38+  3.  |  33+  21. [11.12],36,NA
3989,34+  9.  |  36+  13. [12.49],34,NA
65,25   33.  |  34.5   16. [22.98],32+,NA
465,32   19.  |  38   11. [15.17],30+,NA
3112,35+  8.  |  32+  37. [17.44],30,NA
880,28+  26.  |  33+  21. [27.50],NA,NA
2014,28+  26.  |  33+  21. [27.50],NA,NA
1251,28+  26.  |  33+  21. [27.50],NA,NA
312,32   19.  |  32   40. [28.28],NA,NA
1134,27+  30.  |  33+  21. [29.20],NA,NA
1135,30+  22.  |  32+  37. [29.24],NA,NA
2667,28+  26.  |  33   35. [31.24],NA,NA
1255,30   24.  |  31   43. [32.31],NA,NA
1741,17+  37.  |  33+  21. [33.99],NA,NA
1576,13+  63.  |  34   18. [34.87],NA,NA
776,17   48.  |  33+  21. [36.52],NA,NA
979,29   25.  |  26   57. [37.91],NA,NA
499,17+  37.  |  33   35. [38.61],NA,NA
1228,15+  50.  |  33+  21. [38.71],NA,NA
1389,22+  34.  |  29+  47. [40.69],NA,NA
451,15   60.  |  33+  21. [40.96],NA,NA
2761,17+  37.  |  30.5   45. [43.47],NA,NA
1378,27+  30.  |  14+  63. [44.37],NA,NA
1264,15+  50.  |  32+  37. [45.51],NA,NA
2507,17+  37.  |  28+  50. [45.83],NA,NA
2687,17+  37.  |  27   51. [46.73],NA,NA
798,15+  50.  |  31+  41. [47.56],NA,NA
3427,15+  50.  |  31+  41. [47.56],NA,NA
2789,17+  37.  |  26+  56. [48.50],NA,NA
3061,17+  37.  |  26   57. [49.14],NA,NA
2040,17+  37.  |  17+  62. [51.03],NA,NA
1759,15+  50.  |  29+  47. [51.15],NA,NA
138,17   48.  |  26.5   54. [51.41],NA,NA
461,17+  37.  |  14+  63. [51.64],NA,NA
1502,17+  37.  |  12+  66. [52.65],NA,NA
317,13+  63.  |  31   43. [52.76],NA,NA
2493,15+  50.  |  27   51. [53.24],NA,NA
1586,15+  50.  |  27   51. [53.24],NA,NA
1235,15   60.  |  29+  47. [54.11],NA,NA
792,6   66.  |  30+  46. [55.10],NA,NA
1054,15+  50.  |  18+  60. [57.42],NA,NA
1413,15+  50.  |  18+  60. [57.42],NA,NA
2790,15   60.  |  26.5   54. [57.66],NA,NA
1581,15+  50.  |  14   65. [59.52],NA,NA
1429,13+  63.  |  25+  59. [61.45],NA,NA
