user_id,score0,score1,score2
2574,Top  1.  |  Top  1. [1.94],39+,45+
437,Top  1.  |  Top  1. [1.94],37+,43
1129,38+  7.  |  37+  4. [8.15],41+,42+
1214,Top  1.  |  37+  4. [4.18],38+,42+
855,Top  1.  |  38+  3. [2.74],37+,41+
463,31+  22.  |  37+  4. [14.12],39,34+
4299,38+  7.  |  36   16. [12.71],36+,32
2285,38+  7.  |  37+  4. [8.15],37,28+
2370,32+  20.  |  36+  12. [16.64],36+,NA
1741,38+  7.  |  33   35. [18.49],36+,NA
773,41+  5.  |  34+  24. [11.07],35+,NA
2301,38   13.  |  36+  12. [13.25],35+,NA
1559,34+  17.  |  36+  12. [15.15],33+,NA
2667,32+  20.  |  36   16. [18.67],32+,NA
1221,38+  7.  |  33+  31. [17.57],32,NA
2289,31+  22.  |  36+  12. [19.62],32,NA
2039,38+  7.  |  34   26. [16.31],30+,NA
519,31+  22.  |  35+  19. [23.87],30+,NA
2306,37   14.  |  35+  19. [17.32],30,NA
864,39+  6.  |  37+  4. [6.48],29,NA
2261,31+  22.  |  37   11. [17.71],26+,NA
1389,37   14.  |  32   40. [24.49],21+,NA
854,33+  18.  |  37+  4. [11.22],21,NA
532,33   19.  |  34   26. [23.07],21,NA
649,31+  22.  |  35+  19. [23.87],20,NA
593,19+  59.  |  37+  4. [20.32],14+,NA
648,30+  36.  |  36   16. [24.91],NA,NA
1170,37   14.  |  30   43. [25.84],NA,NA
1234,31+  22.  |  33+  31. [30.43],NA,NA
2336,31+  22.  |  33+  31. [30.43],NA,NA
912,28+  43.  |  35   22. [31.46],NA,NA
776,28   46.  |  35   22. [32.52],NA,NA
318,31+  22.  |  32+  38. [33.12],NA,NA
172,31+  22.  |  32+  38. [33.12],NA,NA
2014,23   51.  |  34+  24. [35.69],NA,NA
3889,28+  43.  |  33+  31. [37.82],NA,NA
516,31+  22.  |  29+  47. [38.50],NA,NA
1489,31+  22.  |  29+  47. [38.50],NA,NA
3427,31+  22.  |  29+  47. [38.50],NA,NA
314,29   42.  |  33   35. [38.88],NA,NA
1772,30+  36.  |  31+  41. [38.92],NA,NA
320,22+  54.  |  34   26. [39.24],NA,NA
3989,28+  43.  |  33   35. [39.80],NA,NA
765,29+  38.  |  30   43. [41.93],NA,NA
2368,31+  22.  |  27+  63. [42.54],NA,NA
3125,16+  65.  |  34   26. [42.99],NA,NA
60,31+  22.  |  27   65. [43.86],NA,NA
775,28   46.  |  31+  41. [44.16],NA,NA
1264,15+  70.  |  34   26. [45.06],NA,NA
1773,29+  38.  |  29+  47. [45.32],NA,NA
1576,29+  38.  |  29   58. [48.48],NA,NA
1135,20+  57.  |  30   43. [50.58],NA,NA
1946,23+  50.  |  29+  47. [50.99],NA,NA
308,29+  38.  |  27   65. [51.64],NA,NA
797,22+  54.  |  29+  47. [53.48],NA,NA
621,22+  54.  |  29+  47. [53.48],NA,NA
1367,20+  57.  |  29+  47. [54.68],NA,NA
470,23   51.  |  29   58. [55.62],NA,NA
65,23   51.  |  29   58. [55.62],NA,NA
1251,28   46.  |  27   65. [56.32],NA,NA
634,27   49.  |  27   65. [57.51],NA,NA
792,15   76.  |  30   43. [58.92],NA,NA
1713,15+  70.  |  29+  47. [61.40],NA,NA
69,15+  70.  |  29+  47. [61.40],NA,NA
3136,19   60.  |  27+  63. [62.24],NA,NA
880,16+  65.  |  29   58. [62.67],NA,NA
1384,15   76.  |  29+  47. [63.69],NA,NA
1558,17+  64.  |  27   65. [65.73],NA,NA
4308,19   60.  |  26+  71. [66.27],NA,NA
3111,15+  70.  |  28   62. [67.04],NA,NA
1754,18+  63.  |  26+  71. [67.35],NA,NA
544,16   68.  |  27   65. [68.00],NA,NA
3147,19   60.  |  23+  75. [68.09],NA,NA
518,16+  65.  |  26+  71. [68.93],NA,NA
312,16   68.  |  23+  75. [72.15],NA,NA
803,15+  70.  |  23+  75. [74.23],NA,NA
3141,15+  70.  |  15   81. [76.63],NA,NA
84,11+  81.  |  24+  74. [77.90],NA,NA
3138,15   76.  |  20+  79. [78.50],NA,NA
1502,15   76.  |  19+  80. [78.99],NA,NA
2687,11+  81.  |  22   78. [79.97],NA,NA
1095,15   76.  |  14+  82. [80.22],NA,NA
856,11+  81.  |  11   84. [82.99],NA,NA
3915,8+  84.  |  14+  82. [83.25],NA,NA
